"asin","product_title","average_rating","review_author","reviewed_product_attribute","reviewed_variant_asin","variant_review_url","review_rating","review_date","reviewed_country","review_text","review_comment_count","review_header","no_of_people_reacted_helpful","author_profile_url","url","brand","review_url","input"
"B07NFTVP7P","Echo (3rd Gen)- Smart speaker with Alexa- Charcoal","4.7","Dborg58","Style: Echo | Color: Charcoal | Configuration: Device only","B07NFTVP7P","https://www.amazon.com/all-new-Echo/product-reviews/B07NFTVP7P/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","November 25, 2019","United States","I have tried Alexa and I have tried the G word and the A word out performs the G word any day. I lost connection over and over with the G word and so far after more than a month, I have never lost connection with Miss Alexa so I am very happy and being a prime member And being able to pay for it monthly you just can’t beat that so thank you Amazon you will have a prime member as long as I’m around. The bass quality is awesome....the sound quality, and if you don’t know the difference i’m sorry, is awesome and me being an audiophile I don’t use The word awesome lightly. You can’t go wrong with Miss Alexa.","","Awesome ! I recommend this over the G word.","13","https://www.amazon.com/gp/profile/amzn1.account.AE2M4T22OUGBI3XCUBMSRRUOTFKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07NFTVP7P/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=6&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Amazon","https://www.amazon.com/gp/customer-reviews/R3JJT7QPD2DHQZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NFTVP7P","B07NFTVP7P"
"B07NFTVP7P","Echo (3rd Gen)- Smart speaker with Alexa- Charcoal","4.7","David","Style: Echo | Color: Twilight Blue | Configuration: Device only","B07R1CXKN7","https://www.amazon.com/all-new-Echo/product-reviews/B07R1CXKN7/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","2.0","November 07, 2019","United States","As an early adopter for Echo v1, I thought now would be a good time to see what kind of improvements Amazon has made to their Alexa platform. I also have Dots in each of my kids room, a fire stick, and a fire 8 tablet. I don't feel this new generation has done anything to make it a better product, other than a great blue color. I feel my first gen sounded better than this one. I actually just moved it to a spare family room downstairs and hooked up my Google Mini again. Meh.","","Beautiful Blue Color, Meh Everything Else","6","https://www.amazon.com/gp/profile/amzn1.account.AGJP2IVBQRUV67ZUFPGU4XNZRJOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07NFTVP7P/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=10&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Amazon","https://www.amazon.com/gp/customer-reviews/R1JXKY0XAT6AOX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NFTVP7P","B07NFTVP7P"
"B07NFTVP7P","Echo (3rd Gen)- Smart speaker with Alexa- Charcoal","4.7","Joe Rak","Style: Echo | Color: Charcoal | Configuration: Device only","B07NFTVP7P","https://www.amazon.com/all-new-Echo/product-reviews/B07NFTVP7P/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","1.0","April 20, 2020","United States","I bought the echo Gen 3 to use as an PC speaker, and as an echo (like an office assistant). There is deal-breaking flaw/bug that prohibits using this way: Unfortunately, the ""line in"" (from the computer) seems to ""go to sleep"" after about 5 seconds of silence from the computer. The speaker will ""wake up"" and start playing the line in only after about 1-2 seconds of audio from the computer. This might be fine for listening to music, but is a deal-breaker for a PC speaker. If there is a pause in conference calls, the speaker goes to sleep, and you miss the first 5 seconds when someone resumes talking. You'll miss alerts and alarms, etc. Also the echo won't ""wake up"", if it is only one second of audio. If you leave the audio-in silent for 10-15 minutes, the ""wake up"" time is longer (about 10 seconds of computer sound to wake it up) To troubleshoot, I've installed the latest echo software on the device and have restarted. I've searched the forums, and this seems to be a known issue. It is important for you to know this if you plan to use the Echo 3 in this way. P.S. Also, the sound quality is mediocre.","","Do NOT buy as a PC speaker!","6","https://www.amazon.com/gp/profile/amzn1.account.AFGL5ILHTADYBAVWXSY5XYUEYIGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07NFTVP7P/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=8&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Amazon","https://www.amazon.com/gp/customer-reviews/R317IWPIUPRNMW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NFTVP7P","B07NFTVP7P"
"B07NFTVP7P","Echo (3rd Gen)- Smart speaker with Alexa- Charcoal","4.7","Jay","Style: Echo Plus | Color: Charcoal | Configuration: Device only","B0794W1SKP","https://www.amazon.com/all-new-Echo/product-reviews/B0794W1SKP/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","3.0","February 22, 2019","United States","Good sound, easy to set up, attractive/subdued hardware, cloud based AI works well for us, needs better client firmware, admin software apps. More details on our cons, as the pros have been covered by many other reviews. - cannot be set up from ethernet connected PC, requires either mobile app or wifi PC - whisper mode is cool, but rarely works - the volume between ""too soft - can't hear me"" and ""not a whisper - use normal volume"" makes it very hard to get the whisper reply - bummed that the smart home connectivity for Hue bulbs is limited to so few capabilities compared to a dedicated Hue hub We have had several Echos over the years, and this is a replacement for an older generation, and I hope this one avoids the problems we have had with those, because they are now essentially paperweights: - a recent firmware update (sometime in the last 3 months) killed the ability to connect with our router's 5GHz or 2.4GHz wifi, either as an existing, new, or factory reset new device. We had two identical ones, both replaced by these. One went to the garage where it was rarely used, noticed it was not connected about 2 weeks ago, but figured it just needed a reboot; however rebooting it didn't reconnect it. I hadn't used it in a while, figured maybe it died from the cold or something. The second was in storage in the house, so I got it out to use instead, and it powered up and connected to wifi fine - I checked weather, etc. to verify it was ok. I left it alone a few hours, it got an update and restarted, and was then in the same boat as the other one - no wifi connection can be made with any combo of settings I can try, but it does connect to the Android app via the Amazon wifi step of setup, so the hardware seems fine. All our newer Echos - Echo Plus, Echo Sub, Echo Show, Echo Show 2, work fine with the same settings. - the Android Alexa app pops up an error message when wifi connectivity fails during setup, which covers the first two input fields on the page (network name and password) and can't be dismissed, making it difficult to edit the form without killing the app - the Android Alexa app flips the phone from standard WiFi to a peer-to-peer Amazon Wi-Fi with the Echo during setup, and killing setup or failing setup leaves the phone unconnected to the internet unless you go back and reselect your normal WiFi network in Android settings - support was free, but very slow (3+ minutes to type each response, I think they were in multiple simultaneous chats), and ineffective - they just followed the flowchart, ignoring what I told them I had already done, and asking the same questions over and over; the only new thing they had me try was the factory reset paperclip button, but it made no difference.","","Hope it lasts","1","https://www.amazon.com/gp/profile/amzn1.account.AHXCP7QZXE74732B6OA7RL46H7PQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07NFTVP7P/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=17&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Amazon","https://www.amazon.com/gp/customer-reviews/R2T0NXYBTPCTWN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NFTVP7P","B07NFTVP7P"
"B07NFTVP7P","Echo (3rd Gen)- Smart speaker with Alexa- Charcoal","4.7","Anna G.","Style: Echo Plus | Color: Sandstone | Configuration: Device only","B0794LMHLY","https://www.amazon.com/all-new-Echo/product-reviews/B0794LMHLY/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","1.0","November 07, 2018","United States","no connectivity with iTunes","","not functional for my needs","33","https://www.amazon.com/gp/profile/amzn1.account.AELZX6HL7QPWEBQLKJ3NOKLEU53Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07NFTVP7P/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=4&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Amazon","https://www.amazon.com/gp/customer-reviews/R2NLHB5YV3OF11/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NFTVP7P","B07NFTVP7P"
"B07NFTVP7P","Echo (3rd Gen)- Smart speaker with Alexa- Charcoal","4.7","Amy CC","Style: Echo Plus | Color: Charcoal | Configuration: Device only","B0794W1SKP","https://www.amazon.com/all-new-Echo/product-reviews/B0794W1SKP/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","3.0","April 27, 2019","United States","Echo Plus has much better sound quality, nice plus, better bass, nice, but poor voice recognition, volume control and essentially no control of it via the Alexa app. Volume is all over the map essentially. When you first turn it on, volume is very low for about 10 - 15 seconds, then goes moderate for maybe 5 seconds, then loud, and stays loud. If you tell it to lower volume, just don't know what you will get. You have to walk over to it and turn the volume down and even then, it isn't consistent. Plus I have noticed, my husband has as well, it literally does not want to be turned off. It's about 50/50 that it will actually turn off when you tell it too. A couple of times I have told it to ""stop"" and the volume just got very low. Repeated attempts to turn it off were ignored. After several minutes, I finally shouted angrily at it, no lie, and THEN it turned off completely. Does Alexa now understand emotions as well?? Kind of scary. As far as integration in the Alexa app, essentially nonexistent. You can do the setup via the Alexa app, after that, there's no more volume control, on/off control via the app. DO NOT like that Amazon. Are you listening?? Oh, wait you do listen sometimes.... Yes, not so happy with this 2nd Gen Echo. Improved sound quality does not make up for loss of control.","","Doesn't recognize voice commands as well","3","https://www.amazon.com/gp/profile/amzn1.account.AH47UO7RM5DGNL7YQAJYLCPSNYQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07NFTVP7P/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=11&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Amazon","https://www.amazon.com/gp/customer-reviews/R1XQK6Q74JXMT6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NFTVP7P","B07NFTVP7P"
"B07NFTVP7P","Echo (3rd Gen)- Smart speaker with Alexa- Charcoal","4.7","Dr-Phone","Style: Echo Plus | Color: Charcoal | Configuration: Device only","B0794W1SKP","https://www.amazon.com/all-new-Echo/product-reviews/B0794W1SKP/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","4.0","December 23, 2019","United States","I have 4 of the pluses! For the most part I like the sound of them. They sound very good. I had no issue with just unboxing the units and plugging them in! The units connected to my Wi-Fi with no issues. It does take about 45 Minutes for the Temperature sensor to come online. Then I noticed it is about 1.5F lower then all my other thermometer in the house. This looks to be the case for all 4 units. I didn’t find any way to be able to a-just them to correct the reading. They also seem to take some time to change as far as the reading. If I could give the Pluses a offset to use for the Temperature to correct them! Then I would be very happy with them. Not tried out the Zigbee hub in any of the units yet. I don’t have any devices that talk Zigbee. I like the fact if you have 2 or more Echo Pluses! You can ask what the house Temperature is and it will then give you the average Temperature of the house. I also like the fact I can use the built in Temp to be able to control my ceiling fans through the Bond home fan controller. ** Update 2/13/2019 ** In testing the hub some more found the following The Echo Plus will not read Temps 32 and below. So if you want to get the temp outside on a cold winter day! This will not work. If you have a sensor with a Humidity reading! Again the Echo Plus will not see it at all. If you have any sensors that report there battery status! You will be out of luck using the Echo Plus hub. It will not even show it.","","Temperature sensor could be better. Looks to be about 1.5 degrees low!","1","https://www.amazon.com/gp/profile/amzn1.account.AH5SCPTXWYBUFOZTP3ONVIE2TWWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07NFTVP7P/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=14&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Amazon","https://www.amazon.com/gp/customer-reviews/R1D2ELGA6S6KN1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NFTVP7P","B07NFTVP7P"
"B07NFTVP7P","Echo (3rd Gen)- Smart speaker with Alexa- Charcoal","4.7","MrBlueSky","Style: Echo Plus | Color: Charcoal | Configuration: Device only","B0794W1SKP","https://www.amazon.com/all-new-Echo/product-reviews/B0794W1SKP/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","3.0","December 01, 2020","United States","Sadly after less than 10 months, speaker sounds crackly, and voice recognition is hit or miss. At first, this was an impressive device with great bass and excellent voice responsiveness. However, after about 6 months I noticed it starting to lag in voice recognition, and I had to repeat the wakeup word ""Alexa"" several times before it would respond. I also started to notice that sometimes the sound was a little crackly when playing music. I listen to it daily, often for a couple hours as I work around the house, and I rarely have the volume above 40%. On only a rare few occasions have I ""cranked"" it up to 70%. I don't like things loud, and have pretty sensitive hearing, so 40% is usually quite nice and full sounding. However, as the months continued, I noticed the sound degrading more and more and the overall product began to sound more tinny and sometimes crackle with moderate bass sounds (even at only 40%). Some songs seem to be still ok, but more and more are starting to sound steadily worse. And frequently I have to repeat ""Alexa....Alexa....ALEXA!"" many times, even when I'm only a few feet away before the device responds. My environment has not changed, as it is used in my master bedroom, so I'm not sure why the voice responsiveness would get worse over time...it's supposed to get better as it ""learns"" your voice commands, accent, and speaking style. I have a ""Californian"" accent (which is about as zero of an American accent out there) so I'm very surprised it has lost much of it's voice recognition. In any case, at first I really and truly was impressed with this little unobtrusive speaker. It really has much more power, and was more robust sounding when I first bought it. However, I am very disappointed that it is already starting to lose it's clarity in sound and responsiveness - at under a year old. I guess in this throw away technology society, perhaps I should have expected as much.","","Sadly after less than 10 months, speaker sounds crackly, and voice recognition is hit or miss","","https://www.amazon.com/gp/profile/amzn1.account.AFKHVYAGJFNJGN7ISWINTLXYHDXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07NFTVP7P/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=18&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Amazon","https://www.amazon.com/gp/customer-reviews/R2KNZ0W79J8CD1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NFTVP7P","B07NFTVP7P"
"B07NFTVP7P","Echo (3rd Gen)- Smart speaker with Alexa- Charcoal","4.7","Merv","Style: Echo Plus | Color: Charcoal | Configuration: Device only","B0794W1SKP","https://www.amazon.com/all-new-Echo/product-reviews/B0794W1SKP/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","January 20, 2019","United States","We bought 1st generation years ago and loved it, but for playing music we used our Bose Soundtouch 10. So our kitchen, dining room and bedroom had two speakers taking up space, the Echo and the Bose. Now the New Generation Echo devices with their new speakers are so very good plus so very small that we decided removed our Bose speaker from the dining room. In the kitchen and bedroom, we bought the Echo Shows which they also have great sounding speakers. We almost bought the Sonos One with Alexa, but after comparing them side by side in a show. We bought the Amazon Echo devices based on the equally sound and the better price. We paid $69 for the Echo, $99 for Echo Plus and not $199 for the Sonos. The Echo Shows, We paid $179 which was still cheaper than the Sonos One. Now don’t get us started on the new Bose 500 with Alexa at $399, which barely sound better than the New Generation Echo devices and definitely not worth $300 more. Remind you we own a lot of Bose products and have been fans since 1980. So my recommendation is buy The New Generation Echo Devices over the over priced and marginally better sound Bose 500 is a based on years of use.","","For great sound and better value than Bose 500 and Sonos One buy the Amazon Echo devices","9","https://www.amazon.com/gp/profile/amzn1.account.AFUPTXG6JMBC23ADXZYBT5TOVVMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07NFTVP7P/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=7&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Amazon","https://www.amazon.com/gp/customer-reviews/R1LWH5WTB0APA4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NFTVP7P","B07NFTVP7P"
"B07NFTVP7P","Echo (3rd Gen)- Smart speaker with Alexa- Charcoal","4.7","Professor","Style: Echo | Color: Sandstone | Configuration: Device only","B07PBGN2WX","https://www.amazon.com/all-new-Echo/product-reviews/B07PBGN2WX/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","4.0","November 14, 2019","United States","This is a big upgrade in sound over the Echo dot. While we use it often in our kitchen, know that it is not high end quality sound - what do you expect from one small speaker. It is plenty good enough for an enjoyable listening experience, especially for background music while working/cooking. In comparison, the Echo dot sound was just too poor quality to enjoy without hooking up an auxiliary speaker and so we only used it occasionally. I was surprised that this new unit defaults to Amazon Music rather than Prime music and so we started getting commercials mixed in to our music stream. It takes time to get the commands right to connect to Prime music without commercials - not an issue we had with the Echo dot that this unit replaced.","","Better Sound","22","https://www.amazon.com/gp/profile/amzn1.account.AGV2IT3M3IQH4WWVFLTGBQTSRCLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07NFTVP7P/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=4&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Amazon","https://www.amazon.com/gp/customer-reviews/R1WUVRR1E5ICF7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NFTVP7P","B07NFTVP7P"
