순위,제목,가수,가사
1,밤하늘의 별을(2020),경서,"밤하늘의 별을 따서 너에게 줄래
너는 내가 사랑하니까
더 소중하니까
오직 너 아니면 안 된다고
외치고 싶어 그저
내 곁에만 있어줘
떠나지 말아줘
참 많이 어색했었죠 널 처음 만난 날
멀리서 좋아하다가 들킨 사람처럼
숨이 가득 차올라서
아무 말 하지 못했는데
너는 말 없이 웃으며 내 손 잡아줬죠
밤하늘의 별을 따서 너에게 줄래
너는 내가 사랑하니까
더 소중하니까
오직 너 아니면 안 된다고
외치고 싶어
그저 내 곁에만 있어줘
떠나지 말아줘
널 좋아하는 내 마음이 표현이 안 돼
꿈이 아니면 좋겠어 자꾸 웃음 나와
내 모든 걸 다 준대도
너에겐 아깝질 않아
이 순간이 영원하길 난 정말 행복해
밤하늘의 별을 따서 너에게 줄래
너는 내가 사랑하니까
더 소중하니까
오직 너 아니면 안 된다고
외치고 싶어
그저 내 곁에만 있어줘
떠나지 말아줘
그저 내 곁에만 있어줘
떠나지 말아줘
많고 많은 사람 중에
너를 만나서 행복하고 싶어
두 번 다시 울지 않을래
오직 내 눈에는 너만 보여
나를 아껴줘 이제부터
혼자가 아니야 우린 함께니까
나나나 난난 난난나
나나나 난난 난난나
나 나나나 난난 난난나 나나난나
나나나 난난 난난나
나나나 난난 난난나
나 나나나 난난 난난나 나나난나"
2,잠이 오질 않네요,장범준,"당신은 날 설레게 만들어
조용한 내 마음 자꾸만 춤추게 해
얼마나 얼마나 날 떨리게 하는지
당신이 이 밤을 항상 잠 못 들게 해
매일 같은 밤 너를 생각하면서
유치한 노랠 들으며
심장이 춤을 추면서
오오 난 너를 기다리면서
유치한 노랠 부르며
심장이 춤을 추면서 워
나를 떨리게 하나요
그대 왜 나를 설레게 하나요 자꾸만
오늘도 잠 못 이루는 이 밤
아름다운 그대
나를 아프게 하나요
웃는 그대 왜 자꾸 설레게 하나요
하염없이
오늘 밤 잠이 오질 않네요
보고 싶은 그대여
당신이 날 힘들게 만들어
갑자기 내 마음 자꾸만 멍들게 해
얼마나 얼마나 잠 못 들게 하는지
고요한 내 마음 항상 시끄럽게 해
매일 같은 밤 너를 생각하면서
유치한 노랠 들으며
심장이 춤을 추면서
워 난 너를 기다리면서
유치한 노랠 부르며
심장이 춤을 추면서 워
나를 떨리게 하나요
그대 왜 나를 설레게 하나요 자꾸만
오늘도 잠 못 이루는 이 밤
아름다운 그대
나를 아프게 하나요
웃는 그대 왜 자꾸 설레게 하나요
하염없이
오늘 밤 잠이 오질 않네요
보고 싶은 그대여
매일 밤 너를 생각하면서
유치한 노랠 들으며
심장이 춤을 추면서
워오 난 너를 기다리면서
유치한 노랠 부르며
심장이 춤을 추면서 워
나를 떨리게 하나요
그대 왜 나를 설레게 하나요 자꾸만
오늘도 잠 못 이루는 이 밤
아름다운 그대여
나를 아프게 하나요
웃는 그대 왜 자꾸 설레게 하나요
하염없이
오늘 밤 잠이 오질 않네요
보고 싶은 그대여"
3,내 손을 잡아,아이유,"느낌이 오잖아

떨리고 있잖아

언제까지 눈치만 볼 거니

네 맘을 말해봐

딴청 피우지 말란 말이야

네 맘 가는 그대로

지금 내 손을 잡아

어서 내 손을 잡아

우연히 고개를 돌릴 때 마다

눈이 마주치는 건

며칠 밤 내내 꿈속에 나타나

밤새 나를 괴롭히는 건

그 많은 빈자리 중에서 하필

내 옆자릴 고르는 건

나도 모르게 어느새 실없는 웃음

흘리고 있다는 건

그럼 말 다했지 뭐

우리 얘기 좀 할까

느낌이 오잖아 떨리고 있잖아

언제까지 눈치만 볼 거니

네 맘을 말해봐

딴청 피우지 말란 말이야

네 맘 가는 그대로

지금 내 손을 잡아

핸드폰 진동에

심장이 덜컥내려 앉는다는 건

오 나도 모르게

어느새 짓궂은 네 말투

자꾸 듣고 싶은걸

어떡해

저기 멀리 걸어온다

눈이 마주친다

언제까지 넌 모른척 할거니

사랑이 온거야 너와 나 말이야

네가 좋아 정말 못 견딜 만큼

그거면 된거야

더는 생각하지 말란 말이야

네 맘 가는 그대로

느낌이 오잖아 떨리고 있잖아

언제까지 눈치만 볼 거니

네 맘을 말해봐

딴청 피우지 말란 말이야

네 맘 가는 그대로

지금 내 손을 잡아

그냥 내 손을 잡아

지금 내 손을 잡아"
4,취기를 빌려 (취향저격 그녀 X 산들),산들,"언제부턴가 불쑥
내 습관이 돼버린 너
혹시나 이런 맘이
어쩌면 부담일까
널 주저했어
언제부턴가 점점
내 하루에 스며든 너
아침을 깨우는 네 생각에
어느샌가 거리엔
어둠이 젖어 들고
취기를 빌려
오늘 너에게 고백할 거야
하루하루 네가 좋다고
괜히 어색할까
혼자 애만 태우다
끝끝내 망설여왔던 순간
알잖아 나 무뚝뚝하고
말도 없는 걸
서툰 표현이 쑥스러워서 괜히
쓰다 지울 문자만 바라보다
멋쩍은 쓴웃음만
언제부턴가 가끔
너와 마주칠 때마다
한참을 머뭇거린
어설픈 손 인사만
오늘 밤도 후회로 잦아들고
취기를 빌려
오늘 너에게 고백할 거야
하루하루 보고 싶다고
괜히 어색할까 혼자 애만 태우다
수없이 연습해왔던 그 말
알잖아 나 무뚝뚝하고
말도 없는 걸
서툰 표현이 쑥스러워서 괜히
쓰다 지울 문자만 바라보다
멋쩍은 쓴웃음만
첫눈을 빌려
오늘은 꼭 고백할 거야
작은 너를 품에 안고서
눈을 마주하고
너무 사랑한다고
함께 하고 싶다고"
5,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,"나의 두 눈에 제일 먼저 그대를 담고
가장 예쁜 말들로 그댈 미소 짓게 하고
바람이 차가운 오늘 밤
집에 돌아가는 길
또 그대 생각이 나요
늦은 이 밤 그대 괜찮다면
잠시 나와줄래요
이 밤을 보내기엔 아쉽잖아요
잠시라도 그댈 보고 싶은 내 맘을
이 밤을 빌려 말해요
유난히도 오늘 그대가 더 예뻐 보이고
웃음 짓던 그대 표정 자꾸 아른거려서
바람이 차가운 오늘 밤
집에 돌아가는 길
또 그대 생각이 나요
늦은 이 밤 그대 괜찮다면
잠시 나와줄래요
이 밤을 보내기엔 아쉽잖아요
잠시라도 그댈 보고 싶은 내 맘을
이 밤을 빌려 말해요
별거 아닌 말들이라도
그대와 함께라면
더 바랄 게 없어요
늦은 이 밤 그대 괜찮다면
잠시 나와줄래요
이 밤을 보내기엔 아쉽잖아요
잠시라도 그댈 보고 싶은 내 맘을
이 밤을 빌려 말해요"
6,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,"가을밤이 찾아와
그대를 비추고
또 나를 감싸네
눈을 감을 때마다
향기로운 네 맘이
내게 전해지네
너는 무슨 생각해
나란히 누워서
저 별을 바라볼 때면
나와 같은 마음인지는 몰라도
너와 함께 있는
이 순간이 난 소중해
나랑 같이 걸을래
혹시 내일은 뭐해
네가 부담되지 않는 날에
산책이라도 할래
그냥 날이 좋길래
너와 걷고 싶어져서
내일 많이 바쁘지 않으면
혹시 나랑 같이 걸을래
많이 어색한가 봐
자꾸 딴 델 보고
널 닮은 별만 바라봐
싱그럽게 불어오는 바람에
너와 함께 있는 이 순간이 난 소중해
나랑 같이 걸을래
혹시 내일은 뭐해
네가 부담되지 않는 날에
산책이라도 할래
그냥 날이 좋길래
너와 걷고 싶어져서
내일 많이 바쁘지 않으면
혹시 나랑 같이 걸을래
힘들어 보일 땐
내가 더 아파오고
속상한 마음만 커져
내가 곁에 있을게 항상
너의 편이 되어줄게
저 하늘의 별처럼
나랑 같이 걸을래
혹시 내일은 뭐해
네가 부담되지 않는 날에
산책이라도 할래
그냥 날이 좋길래
너와 걷고 싶어져서
내일 많이 바쁘지 않으면
혹시 나랑 같이 걸을래"
7,그날에 나는 맘이 편했을까,이예준,"늘 똑같은 일로 싸우다 지친 우리
끝날 때 됐나 봐
너답지 않던 모습 더는
지켜보기 힘들었어
다시 주워 담기 힘든 말들
쏟아내고 집에 돌아왔어
그날에 나는 맘이 편했을까
다신 안 보겠단 각오로
니가 못한 숙제 한 거잖아
나는 사랑이 필요해
이만큼 아프면 충분해
니가 핀 담배만큼 난 울었어
니가 가장 듣기 싫어했던
얘기들만 뱉어내고 왔어
그날에 나는 맘이 편했을까
다신 안 보겠단 각오로
니가 못한 숙제 한 거잖아
나는 사랑이 필요해
이만큼 아프면 충분해
니가 핀 담배만큼 난 울었어
상처받았다고 말하지 말아줘
나를 더욱더 사랑해줬더라면
아니 처음부터 만나지 말았다면
행복했을까
정말 널 미워해서 이랬을까
이렇게까지 해서라도
우릴 되돌리고 싶었는데
나를 떠나는 이유가
너는 필요했던 거니까
내가 그 이유를 만들어줄게
미안한 마음들 갖지 않도록"
8,힘든 건 사랑이 아니다,임창정,"내가 널 떠났어야 했는데 왜 떠나야 하는지도 아는데
어떤 아무 말도 아무것도 줄 게 없는 내 곁에서 늘 조용히 손을 잡아준 그대
제발 나를 떠나 부디 너를 찾아 이젠 놔도 되는 너의 나를
분명 다시 돌아갈 수 있으니 더 늦기 전에 어서 나를 떠나가
왜 일찍 널 보낼 수 없었을까 살면서 너와 내가 죽어도 너와 내가 아닌 것을
누군가 그에겐 소중한 너인데 내 그늘에 가려 사랑받지 못해서 미안해
그만큼 받았으니 된 거야 내 생엔 없을 것 같던 그 사랑
어떤 아무 말도 아무것도 줄 게 없는 나일 텐데 또 그렇게 날 안아주는 그대
제발 나를 떠나 부디 너를 찾아 이젠 놔도 되는 너의 나를
분명 다시 돌이킬 수 있으니 더 늦기 전에 어서 나를 떠나가
더 일찍 널 보낼 수 없었을까 혹시나 너와 내가 영원한 너와 내가 맞을까 봐
누군가 그에겐 소중한 너인데 내가 되고 싶어 염치없이 지금까지 널 잡은 거야
떠나고 나면 우린 다 잃는 걸까 아냐 그저 제자리인 거야
우리 헤어지면 잠시 아파 정말 잠시일 거야 세상도 잘했다고 말할 거야
왜 일찍 널 보낼 수 없었을까 살면서 너와 내가 죽어도 너와 내가 아닌 것을
누군가 그에겐 소중한 너인데 내 그늘에 가려 사랑받지 못해서 미안해"
9,고백 (바른연애 길잡이 X 허각),허각,"사실은 고민했었어 네가 떠날까 봐
내 맘은 불안했었어 내 나름대로
나 많이 생각했어 네가 날 외면할까 봐
내게 부담 가질까 봐 난 두려웠었나 봐
Don't say goodbye
난 네게 부족하지만 참 많이 부족하지만
세상을 다 뒤져도 나 같은 남자
없다는 걸 아니
조금은 어색하지만 많이 부족하겠지만
시간이 흐른 뒤엔
날 바라보면서 웃을 거야
이런 말 하기까지가 참 오래 걸렸어
참기 힘들었어 이런 내 맘을 보여주면
너의 표정이 어떻게 변할지 난 궁금해
이렇게 두려워하는
이런 내 바보 같은 모습을
난 네게 부족하지만 참 많이 부족하지만
세상을 다 뒤져도 나 같은 남자
없다는 걸 아니
조금은 어색하지만 많이 부족하겠지만
시간이 흐른 뒤엔
날 바라보면서 웃을 거야
세월이 흘러가도 난 변하지 않겠다고
너의 작은 실수라도
따뜻하게 안아주겠다고
이런 말 하는 남자들도 많이 봤겠지만
눈을 뜨면 볼 수 있는
눈 감아도 느낄 수 있는
내 사랑을
난 네게 부족하지만 참 많이 부족하지만
세상을 다 뒤져도 나 같은 남자
없다는 걸 아니
조금은 어색하지만 많이 부족하겠지만
시간이 흐른 뒤엔
날 바라보면서 웃을 거야
You`re My Angel My Soul
나와 결혼해 줘요"
10,사실 나는 (Feat.전건호),경서예지,"그땐 우리 둘 다 철없이
어리기만 했나 봐
태어나 처음 설레는
너를 만나서 세상에 부러울 거
하나 없이 좋았어
매일 너만 기다렸어
행복한 시간뿐이었어
너에게 받은 만큼
잘해주지 못해서 미안해
사실 나는 니가 보고 싶어
겉으로는 티 안 나게
사람들과 웃곤 해도
정말 많이 그리워
상처 줬던 말과 행동들
전부 미안해 후회돼
아직 니 생각뿐이야
그땐 나도 너무 어려서
사랑을 몰랐나 봐
태어나 처음 설레는
너를 만나서 세상에 부러울 거
하나 없이 좋았어
나도 너만 기다렸어
꿈같던 시간뿐이었어
너에게 사랑 주는 게
그렇게 좋았었어
사실 나도 많이 보고 싶어
겉으로는 티 안 나게
사람들과 어울려도
정말 니가 그리워
상처 줬던 말과 행동들
전부 미안해 후회돼
모두 되돌리고 싶어
더 잘해주고 아껴줬다면
내 곁에 있을까
헤어지기 전으로 돌아간다면
좀 더 노력하고 애쓸 텐데
이렇게 아플 걸 알면
절대 놓지 않을 텐데
정말 잘해줄 텐데
혹시 너도 그리웠다면
조금 니 맘도 내 맘과
같은 마음뿐이라면
당장 달려가 널 안고서
말하고 싶어 아직은
널 지우지 못한다고
널 보내기는 싫다고
후회하기는 싫다고
돌아와 줄래
나에겐 너뿐이라고
내겐"
