순위,제목,가수,가사
1,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (Mirani), 먼치맨(MUNCHMAN), Khundi Panda, 머쉬베놈 (MUSHVENOM)","보여줘야겠어
내가 망할 거랬던 놈들에게도
내가 잘될 거라 했던 너에게도
다 할게 최선
갈아끼워 다 새 거
My life's shining like a VVS VVS
내 삶은 빛나 VVS VVS
보란 듯 나와 TV에
Now you see me babe
내 삶은 빛나 VVS VVS
Skrt-skrt
Hey new water new vv
난 알바 째고 무대 위
Yeah go get it go get it
가사 위 가난이 빛나지
안 가 무한리필
살아봐야겠어 내 빌딩 Yeah
개 같던 세상의
뒤통수 치러 왔지
더 크게 Callin’ ma name
모두 날 보고 놀래
미란이가 TV에
떼버려 Tag
사 새롭게 Yeah yeah
타고 비행
Skrr skrr 난 올라가
Skrr skrr 난 빛이 나
내가 뭐라 했어 Mom
꺼내겠다고 포차
맨 밑바닥의 소녀
엄마의 술병이 날 만들어
허기져 이를 꽉 물어
Chit chat bout me 덤벼 겁쟁이 너
VVS on ma neck 꿈 앞에
녹슨 팔찌 버려 문 앞에
구제 벨트 아직 허리에
원망하던 과거와 춤출래
인디고 카니발 Skrt-skrt
목숨은 다 꺼내놓고
자판기 밑 먼지 덕지덕지 붙은
동전까지 털어-털어
여기까지 왔지
What you know about me
내 속 이야기 털어놓으려
지갑 털어 차린 술상 위
넌 폰만 바라봤잖아
이제 그 스크린에서 날 봐라 I'ma
먹고서 Fly 너가 나갈 건 삔또지
악플들이 돈과 함께 쏟아지니
Got a nice ring to it
꼬우면 네 오빠인지 아저씨인지한테
일러바치고 한 판 더 뜨자 해 빛이
나는 Solo라니까 뭘 그렇게 재니
다 드루와 내 패기
170에 60kg도 안 되지만 국보 1호 MC
The Q's certified new king
in the rap
내가 TV에 쬐끔 나왔다고
연예인 된 줄 알았다는 이미 넌 패
Bigger stacks bigger schemes
Do bigger thang
G+Jus like this team I'm blessed
모든 게 끝나고 홍대로 돌아가도
모든 건 변함없겠지 Like this VVS
보여줘야겠어
내가 망할 거랬던 놈들에게도
내가 잘될 거라 했던 너에게도
다 할게 최선
갈아끼워 다 새 거
My life's shining like a VVS VVS
내 삶은 빛나 VVS VVS
보란 듯 나와 TV에
Now you see me babe
내 삶은 빛나 VVS VVS
Skrt-skrt
Ay 먼치맨 복근에 장착된 VVS
내 행동 위험해 걸리지 심의에
자체 발광 계속해 실시해
날 보고 배워요 EBS
흔들릴 바엔 다 흔들어
흘려온 땀이 내 Career
명품이 없어도 고개를 쳐들어
Keep my head up
Keep your head up
걱정도 했었지 DAY N NIGHT
싸워서 만드는 내일의 나
MBA 11명 매일이 Party
난 역시나 함께일 때가 빛나
Imma good vibe
GV처럼 춤춰 GOOD BYE
내 사랑아 잘 가 웃자
형은 미련 안 키워
OK 이제 난 노래나 불러
전방에 1분간 함성을 발사
기 모아 발포해 내 에너지파
수직상승 올라가 내 텐션 도레미파
먼치맨 YO YO I AIN't got no lie
이제 빛난대 주변에서 TRUE
어쩌면 너가 응원해서
근데 네 말대로 모두
특별하니까 라면
특별히 뭐가 특별해
더 묻고파도 바뀌었지
마치 내 작업실 앞 거리
짧던 이 사정거리 가사가
다 퍼진 광역시
또 걔가 부럽다는 팔로잉
NOW YOU SEE
삐까번쩍 빛나 벌써 이 밤처럼
시간 없어 바쁜 삶
일단 먼저 필사적으로 덤벼 던져
기회는 한순간
잡았다면 밝게 빛나
그 어떤 래퍼의 목걸이보다도
그 HEARTBEAT 진실의 파동
넌 곧 못 볼 거니 좀 봐둬
내 손목은 비었지만
그건 실은 의도적이야
천리안 없이 난 멀리 봐
머리와 멋진 Rhyme
시급으로 따지면 아마도 천만 원이야
힉
야 못 돌아가 시야가 넓어서
날 부정하려면 너 보여봐라
지금 내가 네게 보여준 것처럼
보여줘야겠어
내가 망할 거랬던 놈들에게도
내가 잘될 거라 했던 너에게도
다 할게 최선
갈아끼워 다 새 거
My life's shining like a VVS VVS
내 삶은 빛나 VVS VVS
보란 듯 나와 TV에
Now you see me babe
내 삶은 빛나 VVS VVS
Skrt-skrt
역시 성공은 고난을 동반
말없이 등산을 등반하는 것처럼
I gotta move
하늘에 계신 할매 보고 있습니까
조금 늦었습니다
저 뱀들을 물리치느라
이겨내거라
내일이 없는 듯이 아버지
권투선수 인생 한방이니깐
필요하다 한방이
알겠슴돠
동네의 육상선수 나의 어머니
론다로우지 장애물 따윈
없는 듯이 달려라 태민
You gotta move
Let’s go let’s go
멜로디 없던 내 인생
아침 해 다시 꼬기오
술 팔아 쪽 팔아 벌었던 돈
하루 사는 하루살이의 콧노래
후룰룰루
훈화말씀
새 나라의 어린이 아니
뭐 그런 흔한 말씀을 또
Let’s go
요것 좀 봐라
라고 하는 선생 그거 좀 마라
이 멋 좀 봐라
야 걱정하지마
머쉬베놈
월이백에서 이천으로
넌 떠나 서울 to 경기 이천으로
넌 찍어라 브이로그
옜다 저스디스 톤으로
My life's shining like a VVS VVS
내 삶은 빛나 VVS VVS
보란 듯 나와 TV에
Now you see me babe
내 삶은 빛나 VVS VVS
Skrt-skrt
왔노라 봤노라
결국 이겨냈노라"
2,METEOR,창모 (CHANGMO),"Yeah ha
Yeah ha
Yeah ha
Yeah ha
Yeah ha
Yeah ha
Yeah ha
Yeah ha
Yeah ha
Yeah ha
Yeah ha
Yeah ha
모두 그에게 말해 또 왔네
새꺄 whut
죽지 않고 왔다 이렇게
새꺄 뭐
Snacky chan의
라인을 빌릴래
했어 예수처럼 이렇게 부활을
031 팔 안쪽의
tatt freaky woah
어젠 시장님이 만나쟤 motown
어수룩해 엄마 속에 걱정
한 톤만큼 쌓고
스물한살에 독립했던 얘는
여섯이 되었고
발견했지 우연히 5년 전의 노트
정말 스타 되고 싶어
그럴려면 가서 만나면 돼 악마
노트를 덮고
거울에 비춰진 남자를 보니 와
저 손목이 너무 부러워
저 금 daydate rollie
넘을걸 천백은 더
전국
사람들이 외치네
저 괴물체는 뭘까
Meteor
거대 Meteor
난 네게 처박힐 Meteor야
별빛이 내려오지 마구
내려오지
경고
경고
그래도 처박힐 Meteor야
motown의 1번 노랠
기억해 니들
뭐였지 뭐였나 음 음
i’m the man in the mirror
그러니 light me up
1절의 그 별이 2절의 그 별이
그래 모두 나였지
실화가 된 동화이지
힘들 때면 홀로
쓴 노래를 불러
환상들을 보던
성냥팔이 소년이였던 나날들이
365 24 730 24에 7
1095 아 그만 세자
1400이 되니 oh
그 애랑도 하고 돔페리뇽이 만든
숙취 땜에 넋을 놓은 나를 향해
몇천 명이 와 해
본 적은 없지만 때론
어떤 존재가
내 인생을 왔다 간 듯해
그냥 그런 느낌이 들지
상관없어 환상이던 현실이던지
hands up high
전국
사람들이 외치네
저 괴물체는 뭘까
Meteor
거대 Meteor
난 네게 처박힐 Meteor야
별빛이 내려오지 마구
내려오지
경고
경고
그래도 처박힐 Meteor야
영 영 영원히
약속해 영원하기로
어둠 가득한 저 뒤로
돌려보내지 말아요 제발 제발
영 영 영원히
난 영원할 거라 믿어
흥분으로 가득차
이 도시에 나 외칠 꺼야
드디어 내가 여 왔다"
3,Life Goes On,방탄소년단,"어느 날 세상이 멈췄어
아무런 예고도 하나 없이
봄은 기다림을 몰라서
눈치 없이 와버렸어
발자국이 지워진 거리
여기 넘어져있는 나
혼자 가네 시간이
미안해 말도 없이

오늘도 비가 내릴 것 같아
흠뻑 젖어버렸네
아직도 멈추질 않아
저 먹구름보다 빨리 달려가
그럼 될 줄 알았는데
나 겨우 사람인가 봐
몹시 아프네
세상이란 놈이 준 감기
덕분에 눌러보는 먼지 쌓인 되감기
넘어진 채 청하는 엇박자의 춤
겨울이 오면 내쉬자
더 뜨거운 숨

끝이 보이지 않아
출구가 있긴 할까
발이 떼지질 않아 않아 oh
잠시 두 눈을 감아
여기 내 손을 잡아
저 미래로 달아나자

Like an echo in the forest
하루가 돌아오겠지
아무 일도 없단 듯이
Yeah life goes on
Like an arrow in the blue sky
또 하루 더 날아가지
On my pillow, on my table
Yeah life goes on
Like this again

이 음악을 빌려 너에게 나 전할게
사람들은 말해 세상이 다 변했대
다행히도 우리 사이는
아직 여태 안 변했네

늘 하던 시작과 끝 ‘안녕’이란 말로
오늘과 내일을 또 함께 이어보자고
멈춰있지만 어둠에 숨지 마
빛은 또 떠오르니깐

끝이 보이지 않아
출구가 있긴 할까
발이 떼지질 않아 않아 oh
잠시 두 눈을 감아
여기 내 손을 잡아
저 미래로 달아나자

Like an echo in the forest
하루가 돌아오겠지
아무 일도 없단 듯이
Yeah life goes on
Like an arrow in the blue sky
또 하루 더 날아가지
On my pillow, on my table
Yeah life goes on
Like this again

I remember
I remember
I remember
I remember"
4,어떻게 지내 (Prod. By VAN.C),오반 (OVAN),"어떻게 지내 식상한 말이
내 가사가 될 줄 몰랐어
얼마 안됐네 지나온 날이
다 알아도 그립더라고
i still need you
i need you
i still need you
i need you
시간이 필요했어 우린 정말 사랑했지만
가살 쓰는 법도 잊어버리게 됐지 난
넌 헤어지면 우리 노랠 제발 내지 말아
달라 했지만 못 들어줘 미안
나는 하루 종일 누워 있었어
불면이 심해져서 안 피곤한 날이 없어
가끔은 문 밖에서 누가 문을 두드려
그건 환상인데도 나는 두려워
다시 눈 뜨면 니가 있을까
그럼 무서운 표정을 지을까
아니면 어떤 대화를 나누고 싶어질 수도
있어 그때처럼
대체 왜 보고싶지 남겨진 상처 대신
남은 건 혼자 돼버린 역시 너와 나겠지
난 아직 낯설기만 해 넌 어때
더 지독해 지기 전에 잊어볼게
어떻게 지내 식상한 말이
내 가사가 될 줄 몰랐어
얼마 안됐네 지나온 날이
다 알아도 그립더라고
i still need you
i need you
i still need you
i need you
월요일에 병원을 예약했어
너 없이 사는게 힘들었나봐
하루도 빼지 않고 사람을 만나
너도 알겠지만 오봉이도 데려 왔어
너무 그리워하지 않더라 예범이는
난 약을 먹었지만 아닐거야 별일은
자전거를 타고 어디론가 가려하면
다 너와 간 곳 뿐인게 좀 그럴 뿐야
여기저기에 핑계를 대 불면증 습관이 돼
너가 아닌 사람에게 널 원하고
흉터가 된 상처는 더 이상
아프지가 않잖아
그래서 널 그리나봐 이젠 눈물이 나와
널 다치게 하지 않을 순 없었을까
만약 나 때문이었다면 다 나 때문이면
어떻게 지내 식상한 말이
내 가사가 될 줄 몰랐어
얼마 안됐네 지나온 날이
다 알아도 그립더라고
i still need you
i need you
i still need you
i need you
널 이렇게 망가지게 한 게
나인 건 아닐까
내가 이렇게 망가지다니
대체 왜 병원에 다닐까
널 이렇게 망가지게 한 게
나인 건 아닐까
내가 이렇게 망가지다니
대체 왜 병원에 다닐까"
5,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI),"See I just wanna
share the vibe with ya
우리가 10년 뒤에도
음악을 하고 있다면
과연 없어질까 너와 내 Problems
난 모두가 잘 되길 빌어
이 말이 거짓말 같다 해도
확실한 건 더 이상 상처를 주기 싫어
For real
Cuz nobody's perfect I know it
이제 와서 보니
세상이 우릴 만들었다는 생각이 들어
물론 I hurt you bad
얻은 것보다도 잃은 게
많은 것 같아
사실 너도 알잖아
that we can't go back
당장엔 바꿀 수 없다는 것도 알아
시간이 모든 것을
해결해 주지는 않아
그래도 말이야 더는 걱정하지 말아
모든 게 지나면 웃으면서 보자
Meet me in Montauk
Good night
내일이 오면
사라져 버릴 것들에게 더 이상은
정을 주지 말자
내일이 오면
아무 일 없던 것처럼 다 사라질 거야
너무 걱정 말자
여기 지하 방은 너무 어두워
For every night
there's a brighter day
It'll be ok
여기 바퀴벌레 좀 잡아줘
For every night
there's a brighter day
It'll be ok
살려줘 여기 사람 살아요
추운 겨울이 지나야 봄이 오겠지
그때 난 손목으로 시계를 보겠지
난 시계를 보겠지
우리 다시 만나기를 원했듯이
이 또한 지나가지 내 열두시가
And I just wanna
share the vibe with ya
친구는 떠나고
나 혼자 남아
I don't wanna be alone but
다들 살아 남기도 바빠
닮아 가지 모두가 like
Boi you better pay me proper
그래 나도 알아
영원한 건 없잖아
당연하다고 믿어왔지만
생각보다도 외로웠지
이걸 어른이라고 부른다지만
절대로 익숙해질 리 없지
너와도 연락이 뜸해졌지
서로 가는 길이 멀어져
I’ve been on the low
가끔은 아무라도
괜찮으니 내게 걸어줬으면 하지
안부 전화라도
시간을 돌린다면
후회할 순간이 많아
내 생각과 달라진 하루하루가
숨 막히지만 어제가
오늘이 될 순 없으니까
내일이 온다면 예전과는 달라지길
언젠가 너와 만나서 옛날 얘기하듯이
쉽게 꺼냈으면 해 난 말했으면 해
오늘이 무사히 지나가기를
나는 기도해
형들이 안 싸우기를
내가 너무 동경했던
그 자리에는 가시방석이 날 맞이했어
나는 앉는 법을 배워
어른이 되는 과정
얘랑 친하면 걔랑은
절대 친할 수 없다고 난
내일 아침처럼 아무 생각이 없다
두 팔을 크게 벌려 기지개를 켰다
정신을 차려보니 아무도 없었던
나의 어제는 빠르게 지나
내일이 됐으면
해 뜨고 해지고 해지는 나의 신발
난 가진 것이 없이 여기 왔고
많이 해쳐먹어도
내 친구들은 아직 아파
해 뜨고 해지고 해지는 나의 신발
난 그만하고 나가고 싶어
여기 지하방은 너무 어두워
내일이 오면
사라져 버릴 것들에게 더 이상은
정을 주지 말자
내일이 오면
아무 일 없던 것처럼 다 사라질 거야
너무 걱정 말자
여기 지하 방은 너무 어두워
For every night
there's a brighter day
It'll be ok
여기 바퀴벌레 좀 잡아줘
For every night
there's a brighter day
It'll be ok
살려줘 여기 사람 살아요
Tomorrow Tomorrow
눈을 감고 노랠 부르면
몰랐던 답들이 내게 다가와
손을 건네고
보지 못했던 감동을
너는 보게 될 거야
It’s alright"
6,봄날,방탄소년단,"보고 싶다
이렇게 말하니까 더 보고 싶다
너희 사진을 보고 있어도
보고 싶다
너무 야속한 시간
나는 우리가 밉다
이젠 얼굴 한번 보는 것 조차
힘들어진 우리가
여긴 온통 겨울 뿐이야
8월에도 겨울이 와
마음은 시간을 달려가네
홀로 남은 설국열차
니 손 잡고 지구 반대편까지 가
겨울을 끝내고파
그리움들이 얼마나
눈처럼 내려야 그 봄날이 올까
Friend
허공을 떠도는
작은 먼지처럼 작은 먼지처럼
날리는 눈이 나라면
조금 더 빨리
네게 닿을 수 있을 텐데
눈꽃이 떨어져요
또 조금씩 멀어져요
보고 싶다 보고 싶다
보고 싶다 보고 싶다
얼마나 기다려야
또 몇 밤을 더 새워야
널 보게 될까 널 보게 될까
만나게 될까 만나게 될까
추운 겨울 끝을 지나
다시 봄날이 올 때까지
꽃 피울 때까지
그곳에 좀 더 머물러줘
머물러줘
니가 변한 건지
니가 변한 건지
아니면 내가 변한 건지
내가 변한 건지
이 순간 흐르는 시간조차 미워
우리가 변한 거지 뭐
모두가 그런 거지 뭐
그래 밉다 니가 넌 떠났지만
단 하루도 너를
잊은 적이 없었지 난
솔직히 보고 싶은데
이만 너를 지울게
그게 널 원망하기보단
덜 아프니까
시린 널 불어내 본다
연기처럼 하얀 연기처럼
말로는 지운다 해도
사실 난 아직 널 보내지 못하는데
눈꽃이 떨어져요
또 조금씩 멀어져요
보고 싶다 보고 싶다
보고 싶다 보고 싶다
얼마나 기다려야
또 몇 밤을 더 새워야
널 보게 될까 널 보게 될까
만나게 될까 만나게 될까
You know it all
You're my best friend
아침은 다시 올 거야
어떤 어둠도 어떤 계절도
영원할 순 없으니까
벚꽃이 피나봐요
이 겨울도 끝이 나요
보고 싶다 보고 싶다
보고 싶다 보고 싶다
조금만 기다리면
며칠 밤만 더 새우면
만나러 갈게 만나러 갈게
데리러 갈게 데리러 갈게
추운 겨울 끝을 지나
다시 봄날이 올 때까지
꽃 피울 때까지
그곳에 좀 더 머물러줘
머물러줘"
7,좋은 이별이 있을 리가 없잖아 (Feat. 조현아 Of 어반자카파),MC몽,"좋은 이별 따윈 있을 리 없잖아
Too late too late too late
우린 늦은 거야
사랑해서 좋은 사람 따윌 믿고 있니
우린 그만 잠에서 깨
잊는다고 니가 잊혀질까
미워하면 니가 미워질까
사랑 앞에 쉽게 무너지던
내 마음이 아픔에 무뎌질까
너 없이 맞이할 길고 긴 밤
차라리 꿈이길 빌고 빈다
좋은 이별 따위 있을 리가 없잖아
긴 새벽을 뒤척인다
깨질듯한 두통 찬바람에 시린 두 볼
처음 느껴보는 상실감에
조여오는 숨통
그래 난 이기적이었던 거야
그게 너라는 장미를 꺾은 거야
근데 뾰족한 가시와 가냘픈 꽃잎 중
진짜 니 모습은 어떤 거야
한참을 서럽게도
악몽 같은 잠에 깼어
몇 번을 생각해도
내 결핍이 이 판을 깼어
아름다운 이별은 뭐 지옥 같은 소리
야 마지막에 착한 척은 무리
야 우리 둘은 이미 진 거야
야 등을 보여 적이 된 거야
Woo 우린 서로에게 멍들고
Who 누가 누구에게 편들고
Hoo 한숨은 병이 되고
Love is fading away no no no
매일이 익숙해 걱정마 Fake Shit
이것이 진짜지 F*cking Real
앞으로 잘 봐 좋은 이별이
있을 리가 없잖아
좋은 이별 따윈 있을 리 없잖아
Too late too late too late
우린 늦은 거야
사랑해서 좋은 사람 따윌 믿고 있니
우린 그만 잠에서 깨
참 좋은 당신
마지막까지 좋은 당신
그 한마디가
너무 시건방진 내 입을 막네
참 너 다운 이별 공식
더 멀수록 약해진 Heartbeat
It’s never easy to say good bye but
참 너 답네 이별 공식
겨울로 달려가네 우린
역시나 겨울로 달려가네 우린
They say that time heals
everything but too late
They say that time heals
everything but too late
좋은 이별 따윈 있을 리 없잖아
Too late too late too late
우린 늦은 거야
사랑해서 좋은 사람 따윌 믿고 있니
우린 그만 잠에서 깨
I can’t live without you
너 없인 다 의미 없어
I can’t live without you
지옥 같애 혼자서
I can’t live without you
너 없인 다 의미 없어
I can’t live without you
지옥같애 혼자서
좋은 이별 따윈 있을 리 없잖아
Too late too late too late
우린 늦은 거야
사랑해서 좋은 사람 따윌 믿고 있니
우린 그만 잠에서 깨
겨울로 달려가네 우린
역시나 겨울로 달려가네 우린
They say that time heals
everything but too late
They say that time heals
everything but too late
겨울로 달려가네 우린
역시나 겨울로 달려가네 우린
They say that time heals
everything but too late
They say that time heals
everything but too late"
8,Downtown Baby,블루 (BLOO),"너는 나의 다운타운 베이비야
너의 눈은 밤하늘에 별이야
매일마다 꾸고 싶은 꿈이야
Baby without you
I can’t do this anymore
너는 나의 다운타운 베이비야
너의 눈은 밤하늘에 별이야
매일마다 꾸고 싶은 꿈이야
Baby without you
I can’t do this anymore
628 너 집 번호
네 집 앞이니까 나와 Let’s Roll
시간 아까우니 잡아 나의 두 손
I don’t wanna let go
핑크머리색에 피어싱은 세 개
너는 좋아했지 나의 팔베개
우린 서로 아파하는 짓도 나빠
하나밖에 없는 Downtown Baby
너는 나의 다운타운 베이비야
너의 눈은 밤하늘에 별이야
매일마다 꾸고 싶은 꿈이야
Baby without you
I can’t do this anymore
너는 나의 다운타운 베이비야
너의 눈은 밤하늘에 별이야
매일마다 꾸고 싶은 꿈이야
Baby without you
I can’t do this anymore
영화 보고
Let’s drink all night long
담배 한 대 피며
Talk all night long
힘든 일이 있을 땐 내게 와 일로
너의 얇은 팔로 감싸 나를 사이로
지금 아프더라도 It’s alright
시간은 다 지나가 It’s alright
항상 그랬지 넌 손발이 차가워
그래서 내게 말했지 빨리 안아줘
I’ll make you Rich 조금만
기다려 네가 없는 날에는 Raining
I’ll do anything 조금만
기다려 맑았던 하늘도
다시 보니 Gray
술도 한잔 못 했던 네가 날 만나
와인을 사와
술도 한잔 못 했던 네가 날 만나
마음이 아파
너는 나의 다운타운 베이비야
너의 눈은 밤하늘에 별이야
매일마다 꾸고 싶은 꿈이야
Baby without you
I can’t do this anymore
너는 나의 다운타운 베이비야
너의 눈은 밤하늘에 별이야
매일마다 꾸고 싶은 꿈이야
Baby without you
I can’t do this anymore
It’s okay baby
항상 같은 자리에서 있을게
It’s okay baby
널 위해 내 핸드폰을 켜 놓을게
It’s okay baby
항상 같은 자리에서 있을게
It’s okay baby
널 위해 내 핸드폰을 켜 놓을게
너는 나의 다운타운 베이비야
너의 눈은 밤하늘에 별이야
매일마다 꾸고 싶은 꿈이야
Baby without you
I can’t do this anymore
너는 나의 다운타운 베이비야
너의 눈은 밤하늘에 별이야
매일마다 꾸고 싶은 꿈이야
Baby without you
I can’t do this anymore"
9,"CREDIT (Feat. 염따, 기리보이, Zion.T)",릴보이 (lIlBOI),"요즘 들어 바쁘게 시간을 보냈지
아끼던 내 신발 색이 바랬으니
불과 몇 달 만에
많은 것이 변했나 봐
너는 내게 찾아와서 물어
How you feel
Well I feel love I feel blessed
과분하게 많이 받은 것 같아
지금까지 날 도와준 이들
이름 하나하나
빠짐없이 여기에 남기기로 했지
이곳에 오기 전에
난 그저 방구석에서
변하는 게 무서웠기에 두꺼운
이불을 덮어놨네
의사 선생님이 말했지
조금은 다를지
몰라도 Gotta see yourself
당연한 말이지만은
난 기준을 남에게
뒀었지 I know
이제서야 주변을 봐
지금껏 남은 친구들과
떠나지 않은 사람들 모두를
기억해 나는 이 곡에다가
너무 늦게 말을 건네
넌 당연하게 웃어줬네
but I can never right my wrongs
적어두지 않는다면
적어놨네 Credit
고마웠던 사람들에게
너무 많은 Page
네가 나올 때까지 읽었으면 해
Baby it’s your birthday
괜찮아 오늘은 내가 몰래 낼게
네가 말해 전부 다 얼마
We like
fast cars fast money
시간은 눈 깜짝할 사이
빨리 흘러가지
어제 자주 듣던 노래 역시
내일이 오면 잊혀져
내 사진도 흐릿해져 가지
많이 했던 고민도 어느덧
생각조차 안 나고
하나도 거슬리지 않게
유지해 핸드폰의 매너 모드
Cuz I know that
나는 조금도
특별하지 않아 정말로
but I don't wanna die young
바람처럼 왔다 가긴 싫어 절대
아무도 날 몰라봤을 때를 난 기억해
나는 원해 영원히 남기를
너의 기억 속에
이 막이 내리고 음악이 흐르면
모두 떠나가겠지만 잠시 남아줘
짧은 영화라고
너는 느낄 수도 있지만
스쳐가는 많은 이름 어딘가에
I might be in your
Credit
고마웠던 사람들에게
너무 많은 Page
네가 나올 때까지 읽었으면 해
Baby it’s your birthday
괜찮아 오늘은 내가 몰래 낼게
네가 말해 전부 다 얼마
죽일 듯이 화를 내도
내일이면 전부 식어
싫어도 뭐 어쩌겠어 이게 나의 직업
미소 지어 웃음꽃 담배 피워 죽은 목
술을 먹고 분을 토해
침대 누워 잠을 청해
잠이 안 와 어제 했던
멍청했던 실수 덕에
음이 나간 내 인생은
작곡가의 짐을 더해
정리해봐 Credit 오토튠은 우리 가족
좋은 노래였었구나
이제서야 음이 맞아
I might be on your credit
참아 왔지 너무 오래
아쉬워 눈물이 흘러
내린대도 속이 편할지도 몰라
검은 화면 속의 Credit
I’ll be waiting
for the happy ending
올라가는 수많은 이름들 사이
난 기도해
끝이 아니길
I wish I make it till the last day
I wish I make it till the last day
I wish I make it till the last day
I wish I make it till the last"
10,FLYING HIGH WITH U,빈첸,"FLYING HIGH WITH U
난 그 날 많이 배웠고
바이킹 높은 곳에서
푸른 바다 배경 넌
예뻐 진짜로 예뻐
배경보다 예뻐
이렇게 저렇게 예뻐 예뻐
오래간만이네 어땠어
시간 그리움 보태서
마음이 만남을 간절히 보채서
내가 너의 눈 앞에 있어
며칠은 혼자 기억을 날렸고
애들 장난같이 헛바람에 돈 썼고
하루 안 아깝게 전부 써
근데 이따금 괜시리도 그리웠네
꽃 한 다발을 사왔어 오다 그냥
집 아래 꽃집이 하나 있어 무슨 날
기념일은 아니지만
그대 생각이 나서 근데
꽃집에 너보다 예쁜 꽃이 없어서
좋은 꽃말을 추천 받아 변치 않는 사랑
리시안셔스 ris안셔스 난
너만 알지 발음 몰라
FLYING HIGH WITH U
난 그 날 바이킹에서
별의 별 생각을 몇 초 동안
한지 모르겠어
행복이 뭐 이리도 쉬워
벌써 이 밤이 아쉬워
난 기도해 네 시간이 다
나에게로 닿아 말도 안 되는
영원이 만들어지기를
FLYING HIGH WITH U
밤 바다 위에 babe
IM FLYING HIGH WITH U
뭔 기운에 더 취해서
IM FLYING HIGH WITH U
밤 바다 위에 babe
IM FLYING HIGH WITH U
그대 아니라면 어디 가서 누구에게
나의 알맹이를 보여주겠어
아무리 생각해도
인간은 반 믿기도 기적이지
이 맘을 얼린 다음에 숨겨
품 안에다 꽁 꽁 꽁
똑똑 누구 없소
없어 꺼져 외로운 날은 뚝뚝
좋은 눈물은 폭포처럼
흐르며 고통 미루고 SURF
속도 빠르게 LOVE
내일도 그대 품 안에 집 지을래
HOW CAN I LIVE WITHOUT U
난 지구 그대 태양
빛을 잃었어 그 날은
종일 연락이 안 돼서 DAMMMM
보석 보다 더 빛나 더
부푼 이 마음 풍선이 돼서 날아도
이상할 것 같지 않아 하나도
사랑하며 살아가는구나 이 나도
그니까 난 내 시간이 아깝다고 해
달이 가려진 밤이면 기분이 꿍해
그보다 빛나는 사랑에 눈이 멀래
my babe 모해모해 나랑 모여
오늘 손뼉쳐
널 나의 마음 안에 섞어서
출처가 너인 행복을 떼어서
너에게로 전부다 퍼주겠어
너가 아니라면 난 안 하겠어
FLYING HIGH WITH U
난 그날 바이킹에서
별의 별 생각을 몇 초 동안
한지 모르겠어
행복이 뭐 이리도 쉬워
벌써 이 밤이 아쉬워
난 기도해 네 시간이 다
나에게로 닿아 말도 안 되는
영원이 만들어지기를
FLYING HIGH WITH U
밤 바다 위에 babe
IM FLYING HIGH WITH U
뭔 기운에 더 취해서
IM FLYING HIGH WITH U
밤 바다 위에 babe
IM FLYING HIGH WITH U
FLYING HIGH WITH U
너도 언젠간 날겠지
영원한 건 없어도 평생이라는 건 있어
애매한 건 너무 싫어
계산하는 것도 싫어
같은 시간 됐어
같은 공간 됐어"
