Questions,Context
how is covid dangerous,"More deadly than the flu. Although scientists won’t know for sure until testing becomes widespread, COVID-19 could be about 10 times more deadly than the seasonal flu, which leads to death in about 0.1% of those it infects, says Donald N. Forthal, MD, professor of medicine and molecular biology and biochemistry, and chief of infectious diseases at UCI School of Medicine.

Researchers also don’t have accurate enough numbers to determine the actual percentage of deaths that result from this viral infection, given that there are a great many mild cases, as well as deaths, that have gone unreported.

But Forthal expects the mortality rate to be lower than what we’re seeing today in hotspots around the globe once the data are finally collected.

It’s not the most contagious virus, either.

Michael J. Buchmeier, PhD, professor of infectious diseases at UCI School of Medicine, explains that this virus, while deadly, is thought to be about as contagious as the seasonal flu, with one person infecting another two or three.

Contrast that with measles, where one person can infect 18, or chicken pox, where one person can infect 12. But these two highly contagious diseases are controlled by vaccination.

No one is immune
But it is a virus that has never been seen in humans, so absolutely no one is immune to it. That added to the fact that it spreads as easily from person to person as influenza, and infects the upper respiratory system, is what makes it so dangerous. Plus there is no vaccine.

Because the COVID-19 virus is found in the upper airway — including the mouth and nose — the infection can be spread through coughs, sneezes, huffing and puffing, and likely even loud talking, according to Forthal.

Moreover, we are learning that infected people are unknowingly spreading the virus days before they begin to experience symptoms. Some may not experience symptoms at all.

Neither SARS nor MERS spread as easily or widely.

This new virus ""is capable of causing very severe disease,” Buchmeier says. "
what makes covid more dangerous than sars,"More deadly than the flu. Although scientists won’t know for sure until testing becomes widespread, COVID-19 could be about 10 times more deadly than the seasonal flu, which leads to death in about 0.1% of those it infects, says Donald N. Forthal, MD, professor of medicine and molecular biology and biochemistry, and chief of infectious diseases at UCI School of Medicine.

Researchers also don’t have accurate enough numbers to determine the actual percentage of deaths that result from this viral infection, given that there are a great many mild cases, as well as deaths, that have gone unreported.

But Forthal expects the mortality rate to be lower than what we’re seeing today in hotspots around the globe once the data are finally collected.

It’s not the most contagious virus, either.

Michael J. Buchmeier, PhD, professor of infectious diseases at UCI School of Medicine, explains that this virus, while deadly, is thought to be about as contagious as the seasonal flu, with one person infecting another two or three.

Contrast that with measles, where one person can infect 18, or chicken pox, where one person can infect 12. But these two highly contagious diseases are controlled by vaccination.

No one is immune
But it is a virus that has never been seen in humans, so absolutely no one is immune to it. That added to the fact that it spreads as easily from person to person as influenza, and infects the upper respiratory system, is what makes it so dangerous. Plus there is no vaccine.

Because the COVID-19 virus is found in the upper airway — including the mouth and nose — the infection can be spread through coughs, sneezes, huffing and puffing, and likely even loud talking, according to Forthal.

Moreover, we are learning that infected people are unknowingly spreading the virus days before they begin to experience symptoms. Some may not experience symptoms at all.

Neither SARS nor MERS spread as easily or widely.

This new virus ""is capable of causing very severe disease,” Buchmeier says. "
what makes covid particularly dangerous,"More deadly than the flu. Although scientists won’t know for sure until testing becomes widespread, COVID-19 could be about 10 times more deadly than the seasonal flu, which leads to death in about 0.1% of those it infects, says Donald N. Forthal, MD, professor of medicine and molecular biology and biochemistry, and chief of infectious diseases at UCI School of Medicine.

Researchers also don’t have accurate enough numbers to determine the actual percentage of deaths that result from this viral infection, given that there are a great many mild cases, as well as deaths, that have gone unreported.

But Forthal expects the mortality rate to be lower than what we’re seeing today in hotspots around the globe once the data are finally collected.

It’s not the most contagious virus, either.

Michael J. Buchmeier, PhD, professor of infectious diseases at UCI School of Medicine, explains that this virus, while deadly, is thought to be about as contagious as the seasonal flu, with one person infecting another two or three.

Contrast that with measles, where one person can infect 18, or chicken pox, where one person can infect 12. But these two highly contagious diseases are controlled by vaccination.

No one is immune
But it is a virus that has never been seen in humans, so absolutely no one is immune to it. That added to the fact that it spreads as easily from person to person as influenza, and infects the upper respiratory system, is what makes it so dangerous. Plus there is no vaccine.

Because the COVID-19 virus is found in the upper airway — including the mouth and nose — the infection can be spread through coughs, sneezes, huffing and puffing, and likely even loud talking, according to Forthal.

Moreover, we are learning that infected people are unknowingly spreading the virus days before they begin to experience symptoms. Some may not experience symptoms at all.

Neither SARS nor MERS spread as easily or widely.

This new virus ""is capable of causing very severe disease,” Buchmeier says. "
why covid dangerous,"More deadly than the flu. Although scientists won’t know for sure until testing becomes widespread, COVID-19 could be about 10 times more deadly than the seasonal flu, which leads to death in about 0.1% of those it infects, says Donald N. Forthal, MD, professor of medicine and molecular biology and biochemistry, and chief of infectious diseases at UCI School of Medicine.

Researchers also don’t have accurate enough numbers to determine the actual percentage of deaths that result from this viral infection, given that there are a great many mild cases, as well as deaths, that have gone unreported.

But Forthal expects the mortality rate to be lower than what we’re seeing today in hotspots around the globe once the data are finally collected.

It’s not the most contagious virus, either.

Michael J. Buchmeier, PhD, professor of infectious diseases at UCI School of Medicine, explains that this virus, while deadly, is thought to be about as contagious as the seasonal flu, with one person infecting another two or three.

Contrast that with measles, where one person can infect 18, or chicken pox, where one person can infect 12. But these two highly contagious diseases are controlled by vaccination.

No one is immune
But it is a virus that has never been seen in humans, so absolutely no one is immune to it. That added to the fact that it spreads as easily from person to person as influenza, and infects the upper respiratory system, is what makes it so dangerous. Plus there is no vaccine.

Because the COVID-19 virus is found in the upper airway — including the mouth and nose — the infection can be spread through coughs, sneezes, huffing and puffing, and likely even loud talking, according to Forthal.

Moreover, we are learning that infected people are unknowingly spreading the virus days before they begin to experience symptoms. Some may not experience symptoms at all.

Neither SARS nor MERS spread as easily or widely.

This new virus ""is capable of causing very severe disease,” Buchmeier says. "
why covid is dangerous,"More deadly than the flu. Although scientists won’t know for sure until testing becomes widespread, COVID-19 could be about 10 times more deadly than the seasonal flu, which leads to death in about 0.1% of those it infects, says Donald N. Forthal, MD, professor of medicine and molecular biology and biochemistry, and chief of infectious diseases at UCI School of Medicine.

Researchers also don’t have accurate enough numbers to determine the actual percentage of deaths that result from this viral infection, given that there are a great many mild cases, as well as deaths, that have gone unreported.

But Forthal expects the mortality rate to be lower than what we’re seeing today in hotspots around the globe once the data are finally collected.

It’s not the most contagious virus, either.

Michael J. Buchmeier, PhD, professor of infectious diseases at UCI School of Medicine, explains that this virus, while deadly, is thought to be about as contagious as the seasonal flu, with one person infecting another two or three.

Contrast that with measles, where one person can infect 18, or chicken pox, where one person can infect 12. But these two highly contagious diseases are controlled by vaccination.

No one is immune
But it is a virus that has never been seen in humans, so absolutely no one is immune to it. That added to the fact that it spreads as easily from person to person as influenza, and infects the upper respiratory system, is what makes it so dangerous. Plus there is no vaccine.

Because the COVID-19 virus is found in the upper airway — including the mouth and nose — the infection can be spread through coughs, sneezes, huffing and puffing, and likely even loud talking, according to Forthal.

Moreover, we are learning that infected people are unknowingly spreading the virus days before they begin to experience symptoms. Some may not experience symptoms at all.

Neither SARS nor MERS spread as easily or widely.

This new virus ""is capable of causing very severe disease,” Buchmeier says. "
why covid so dangerous,"More deadly than the flu. Although scientists won’t know for sure until testing becomes widespread, COVID-19 could be about 10 times more deadly than the seasonal flu, which leads to death in about 0.1% of those it infects, says Donald N. Forthal, MD, professor of medicine and molecular biology and biochemistry, and chief of infectious diseases at UCI School of Medicine.

Researchers also don’t have accurate enough numbers to determine the actual percentage of deaths that result from this viral infection, given that there are a great many mild cases, as well as deaths, that have gone unreported.

But Forthal expects the mortality rate to be lower than what we’re seeing today in hotspots around the globe once the data are finally collected.

It’s not the most contagious virus, either.

Michael J. Buchmeier, PhD, professor of infectious diseases at UCI School of Medicine, explains that this virus, while deadly, is thought to be about as contagious as the seasonal flu, with one person infecting another two or three.

Contrast that with measles, where one person can infect 18, or chicken pox, where one person can infect 12. But these two highly contagious diseases are controlled by vaccination.

No one is immune
But it is a virus that has never been seen in humans, so absolutely no one is immune to it. That added to the fact that it spreads as easily from person to person as influenza, and infects the upper respiratory system, is what makes it so dangerous. Plus there is no vaccine.

Because the COVID-19 virus is found in the upper airway — including the mouth and nose — the infection can be spread through coughs, sneezes, huffing and puffing, and likely even loud talking, according to Forthal.

Moreover, we are learning that infected people are unknowingly spreading the virus days before they begin to experience symptoms. Some may not experience symptoms at all.

Neither SARS nor MERS spread as easily or widely.

This new virus ""is capable of causing very severe disease,” Buchmeier says. "
why is covid much stronger than previous corona viruses,"More deadly than the flu. Although scientists won’t know for sure until testing becomes widespread, COVID-19 could be about 10 times more deadly than the seasonal flu, which leads to death in about 0.1% of those it infects, says Donald N. Forthal, MD, professor of medicine and molecular biology and biochemistry, and chief of infectious diseases at UCI School of Medicine.

Researchers also don’t have accurate enough numbers to determine the actual percentage of deaths that result from this viral infection, given that there are a great many mild cases, as well as deaths, that have gone unreported.

But Forthal expects the mortality rate to be lower than what we’re seeing today in hotspots around the globe once the data are finally collected.

It’s not the most contagious virus, either.

Michael J. Buchmeier, PhD, professor of infectious diseases at UCI School of Medicine, explains that this virus, while deadly, is thought to be about as contagious as the seasonal flu, with one person infecting another two or three.

Contrast that with measles, where one person can infect 18, or chicken pox, where one person can infect 12. But these two highly contagious diseases are controlled by vaccination.

No one is immune
But it is a virus that has never been seen in humans, so absolutely no one is immune to it. That added to the fact that it spreads as easily from person to person as influenza, and infects the upper respiratory system, is what makes it so dangerous. Plus there is no vaccine.

Because the COVID-19 virus is found in the upper airway — including the mouth and nose — the infection can be spread through coughs, sneezes, huffing and puffing, and likely even loud talking, according to Forthal.

Moreover, we are learning that infected people are unknowingly spreading the virus days before they begin to experience symptoms. Some may not experience symptoms at all.

Neither SARS nor MERS spread as easily or widely.

This new virus ""is capable of causing very severe disease,” Buchmeier says. "
why is covid so fearful,"More deadly than the flu. Although scientists won’t know for sure until testing becomes widespread, COVID-19 could be about 10 times more deadly than the seasonal flu, which leads to death in about 0.1% of those it infects, says Donald N. Forthal, MD, professor of medicine and molecular biology and biochemistry, and chief of infectious diseases at UCI School of Medicine.

Researchers also don’t have accurate enough numbers to determine the actual percentage of deaths that result from this viral infection, given that there are a great many mild cases, as well as deaths, that have gone unreported.

But Forthal expects the mortality rate to be lower than what we’re seeing today in hotspots around the globe once the data are finally collected.

It’s not the most contagious virus, either.

Michael J. Buchmeier, PhD, professor of infectious diseases at UCI School of Medicine, explains that this virus, while deadly, is thought to be about as contagious as the seasonal flu, with one person infecting another two or three.

Contrast that with measles, where one person can infect 18, or chicken pox, where one person can infect 12. But these two highly contagious diseases are controlled by vaccination.

No one is immune
But it is a virus that has never been seen in humans, so absolutely no one is immune to it. That added to the fact that it spreads as easily from person to person as influenza, and infects the upper respiratory system, is what makes it so dangerous. Plus there is no vaccine.

Because the COVID-19 virus is found in the upper airway — including the mouth and nose — the infection can be spread through coughs, sneezes, huffing and puffing, and likely even loud talking, according to Forthal.

Moreover, we are learning that infected people are unknowingly spreading the virus days before they begin to experience symptoms. Some may not experience symptoms at all.

Neither SARS nor MERS spread as easily or widely.

This new virus ""is capable of causing very severe disease,” Buchmeier says. "
why of all the history of the plagues is covid more complex and deadlier,"More deadly than the flu. Although scientists won’t know for sure until testing becomes widespread, COVID-19 could be about 10 times more deadly than the seasonal flu, which leads to death in about 0.1% of those it infects, says Donald N. Forthal, MD, professor of medicine and molecular biology and biochemistry, and chief of infectious diseases at UCI School of Medicine.

Researchers also don’t have accurate enough numbers to determine the actual percentage of deaths that result from this viral infection, given that there are a great many mild cases, as well as deaths, that have gone unreported.

But Forthal expects the mortality rate to be lower than what we’re seeing today in hotspots around the globe once the data are finally collected.

It’s not the most contagious virus, either.

Michael J. Buchmeier, PhD, professor of infectious diseases at UCI School of Medicine, explains that this virus, while deadly, is thought to be about as contagious as the seasonal flu, with one person infecting another two or three.

Contrast that with measles, where one person can infect 18, or chicken pox, where one person can infect 12. But these two highly contagious diseases are controlled by vaccination.

No one is immune
But it is a virus that has never been seen in humans, so absolutely no one is immune to it. That added to the fact that it spreads as easily from person to person as influenza, and infects the upper respiratory system, is what makes it so dangerous. Plus there is no vaccine.

Because the COVID-19 virus is found in the upper airway — including the mouth and nose — the infection can be spread through coughs, sneezes, huffing and puffing, and likely even loud talking, according to Forthal.

Moreover, we are learning that infected people are unknowingly spreading the virus days before they begin to experience symptoms. Some may not experience symptoms at all.

Neither SARS nor MERS spread as easily or widely.

This new virus ""is capable of causing very severe disease,” Buchmeier says. "
are there covids before this one,"As COVID-19 has hitchhiked around the globe, causing lockdowns, pneumonia and fear, scientists have been racing to determine where the SARS-CoV-2 coronavirus has come from.

While we don't have all the answers yet - including whether it came from an animal reservoir - a new analysis has definitively put to rest the conspiracies that claim it's a lab-made disease. 
The study raises some interesting possibilities regarding the origin of the new coronavirus. One of the scenarios suggests the virus may have been circulating harmlessly in human populations for quite a while before it became the pandemic that's now stopped the world in its tracks."
