Category,label_new,lable_detail,Question,Context,Answer,
1,1, Reason for Danger,"Is COVID-19 claimed to get less deadly over time? If so, why?","While the data are much too sparse and noisy to give an answer about what is happening to COVID-19's virulence, or to forecast what will happen to its virulence in the future, there are indeed theoretical reasons that one might expect the virulence to decline in the future. The novel coronavirus is dangerous for several reasons, even if the number of deaths hasn’t matched that of the flu. Coronavirus is twice as contagious as the flu.A vaccine is available for the flu, but no vaccine is available for coronavirus. It's more likely they adopted those measures to slow covid-19 progression to a manageable degree. Like everything else, we're instructed by past experiences. Although there weren't a lot of data on neurologic aspects of MERS and SARS, there were some papers describing neurologic complications in those patients. Severely affected covid-19 patients may develop something that looks like GBS. Someone who's been infected by COVID-19 is asymptomatic but can spread the disease for no more than 14 days. Someone who's been infected with HIV can be asymptomatic but capable of spreading the disease for 20 years or more.  Given the long asymptomatic period of HIV and the even longer delay in identifying it as a disease, it's pretty much impossible to stop it by quarantine. The virus that causes COVID-19 and the one that caused the outbreak of SARS are related to each other genetically, but the diseases they cause are quite different. COVID-19 appears to be more fatal than the flu, with some studies pegging COVID-19's fatality rate at around 3.4%, while the flu's fatality rate is less than 1%. So far this flu season in the U.S., there have been at least 38 million flu illnesses, 400,000 hospitalizations and 24,000 deaths from flu, according to the CDC. The main difference between COVID-19 and the flu is that there is a lack of immunity in the community for the new coronavirus because there is no vaccine. Swine flu has a mortality rate of around 0.01-0.1%. That’s roughly 10- to 20-fold lower than COVID-19. The big difference in Italy today is that many younger, otherwise healthier patients need critical care and more generally that patients need critical care for a long time. There is not really an inherent difference between Covid-19 and Polio from the common cold.
",theoretical reasons that one might expect the virulence to decline in the future,
1,1, Reason for Danger,Why worry about coronavirus when the flu kills many more people?,,no vaccine is available for coronavirus,
1,2, Earlier Existence,"If the covid-19 appeared once, could it reappear anytime?",, they adopted those measures to slow its progression to a manageable degre,
1,3, COVID versus other virues,Can SARS-CoV-2 be a potential cause for Guillain-Barré syndrome?,,severely affected covid-19 patients may develop something that looks like GBS,
1,3, COVID versus other virues,COVID-19 vs HIV,,the long asymptomatic period of HIV and the even longer delay in identifying it as a disease,
1,3, COVID versus other virues,Is COVID-19 the same as SARS?,,cause are quite different,
1,4, COVID versus Flu,how does COVID-19 compare to the flu?,,COVID-19 appears to be more fatal than the flu,
1,4, COVID versus Flu,How do the coronavirus stats compare to other bad flu seasons?,,"38 million flu illnesses, 400,000 hospitalizations and 24,000 deaths from flu",
1,4, COVID versus Flu,Is coronavirus more contagious than the flu?,,COVID-19 appears to be more fatal than the flu,
1,4, COVID versus Flu,Is coronavirus worse than the flu?,,there is no vaccine,
1,4, COVID versus Flu,Is COVID-19 more deadly than swine flu?,,That’s roughly 10- to 20-fold lower than COVID-19,
1,4, COVID versus Flu,Italy’2017 (flu) vs. Italy’2020 (covid): what changed?,,healthier patients need critical care,
1,4, COVID versus Flu,What differentiates diseases like Covid-19 and Polio from the common cold,,not really an inherent difference,
