Song_id,Rank,Title,Artist,Lyric,Genre
0,1,Sugar,Maroon 5,I'm hurting baby I'm broken downI need your loving lovingI need it nowWhen I'm without youI'm something weakYou got me begging beggingI'm on my kneesI don't wanna be needing your loveI just wanna be deep in your loveAnd it's killing me when you're awayOoh baby cause a bullet don't care where you areI just wanna be there where you areAnd I gotta get one little tasteSugarYes pleaseWon't you come and put it down on meOh right here cause I needLittle love and little sympathyYeah you show me good loving Make it alrightNeed a little a sweetness in my lifeSugarYes pleaseWon't you come and put it down on meMy broken piecesYou put them upDon't leave me hanging hangingCome get me someWhen I'm without yaI'm so insecureYou are the one thing one thingI'm living forI don't wanna be needing your loveI just wanna be deep in your loveAnd it's killing me when you're awayOoh baby cause a bullet don't care where you areI just wanna be there where you areAnd I gotta get one little taste SugarYes pleaseWon't you come and put it down on meOh right here cause I needLittle love and little sympathyYeah you show me good lovingMake it alrightNeed a little a sweetness in my lifeSugarYes pleaseWon't you come and put it down on meYeahI want that red velvetI want that sugar sweetDon't let nobody touch itUnless that somebody is meI gotta be a manThere ain't no other wayCause girl you're hotter than southern california baeI don't wanna play no gamesI don't gotta be afraidDon't give all that shy shitNo make up onThat's mySugarYes pleaseWon't you come and put it down on meOh right here cause I needLittle love and little sympathyYeah you show me good lovingMake it alrightNeed a little a sweetness in my lifeSugarYes pleaseWon't you come and put it down on meSugarYes pleaseWon't you come and put it down on meOh right here cause I needLittle love and little sympathyYeah you show me good lovingMake it alrightNeed a little a sweetness in my lifeSugarYes pleaseWon't you come andput it down on me,Rock
1,2,Believer,Imagine Dragons,First things firstI'ma say all the wordsinside my headI'm fired upand tired of the waythat things have been oh oohThe way that thingshave been oh oohSecond thing secondDon't you tell mewhat you think that I could beI'm the one at the sailI'm the master of my sea oh oohThe master of my sea oh oohI was broken from a young ageTaking my sulking to the massesWriting my poems for the fewThat look at me took to meshook to me feeling meSinging from heartachefrom the painTaking my message from the veinsSpeaking my lesson from the brainSeeing the beauty through thePainYou made me ayou made me abeliever believerPainYou break me downand build me up believer believerPainoh let the bullets flyoh let them rainMy life my love my driveit came fromPainYou made me ayou made me abeliever believerThird things thirdSend a prayer to the ones up aboveAll the hate that you've heardhas turned your spiritto a dove oh oohYour spirit up above oh oohI was choking in the crowdBuilding my rain up in the cloudFalling like ashes to the groundHoping my feelingsthey would drownBut they never did ever livedebbing and flowingInhibited limitedTill it broke open and raineddownIt rained down likePainYou made me ayou made me abeliever believerPainYou break me downand build me up believer believerPainoh let the bullets flyoh let them rainMy life my love my driveit came fromPainYou made me ayou made me abeliever believerLast things lastBy the grace of the fireand the flamesYou're the face of the futurethe blood in my veins oh oohThe blood in my veins oh oohBut they never did ever livedebbing and flowingInhibited limitedTill it broke open and raineddownIt rained down likePainYou made me ayou made me abeliever believerPainYou break me downand build me up believer believerPainoh let the bullets flyoh let them rainMy life my love my driveit came fromPainYou made me ayou made me abeliever believer,Rock
2,3,Little Bit of Love,Tom Grennan,I've been holdin' onto piecesswimmin' in the deep endTryna find my way back to you'cause I'm needin'A little bit of loveA little bit of lovea little bit of loveLately I've been countin' starsAnd I'm sorrythat I broke your heartIt's somethin'that I didn't want for youBut I'm steppin'on broken glassAnd I know thisis my final chanceAll I'm tryna dois find my path to youI've got voices in my headand there's a deafening silenceI've got voices in my headand I can't lieI've been holdin' onto piecesswimmin' in the deep endTryna find my way back to you'cause I'm needin'A little bit of loveA little bit of loveI need a little loveJust like the air I'm breathin'these awful wounds ain't healin'Tryna find my way back to you'cause I'm needin'A little bit of loveA little bit of lovea little bit of lovea little bit of loveLately I've been wakin' upIn that dream you staycallin' my nameStayed up too latejust thinkin' of youNow I'm knocking on every door'Cause I heard you movedfrom twenty-twoHas it been that longI guess time just flewI've got voices in my headand there's a deafening silenceI've got voices in my headand I can't lieI've been holding onto piecesswimmin' in the deep endTryna find my way back to you'cause I'm needin'A little bit of loveA little bit of loveI need a little loveJust like the air I'm breathin'these awful wounds ain't healin'Tryna find my way back to you'cause I'm needin'A little bit of loveA little bit of lovea little bit of lovea little bit of loveI tried to fly but I usedmy wings too soonNow everything got methinking of youI tried a million timesto cut you looseI've been holding onto piecesswimmin' in the deep endTryna find my way back to you'cause I'm needin'A little bit of loveA little bit of loveI need a little loveJust like the air I'm breathin'these awful wounds ain't healin'Tryna find my way back to you'cause I'm needin'A little bit of loveA little bit of lovea little bit of lovea little bit of love,Rock
3,4,Viva La Vida,Coldplay,I used to rule the worldSeas would rise when I gave the wordNow in the morning I sleep aloneSweep the streets I used to ownI used to roll the diceFeel the fear in my enemy's eyesListen as the crowd would singNow the old king is deadLong live the kingOne minute I held the keyNext the walls were closed on meAnd I discoveredthat my castles standUpon pillars of saltand pillars of sandI hear Jerusalem bells are ringingRoman Cavalry choirs are singingBe my mirror my sword and shieldMy missionaries in a foreign fieldFor some reason I can't explainOnce you go there was nevernever a honest wordAnd that was when I ruled the worldIt was a wicked and wild windBlew down the doors to let me inShattered windowsand the sound of drumsPeople couldn't believewhat I'd becomeRevolutionaries waitFor my head on a silver plateJust a puppet on a lonely stringOh who would ever want to be kingI hear Jerusalem bells are ringingRoman Calvary choirs are singingBe my mirror my sword and shieldMy missionaries in a foreign fieldFor some reason I can't explainI know Saint Peter won't call my nameNever an honest wordBut that was when I ruled the worldOh oh oh oh ohI hear Jerusalem bells are ringingRoman Calvary choirs are singingBe my mirror my sword and shieldMy missionaries in a foreign fieldFor some reason I can't explainI know Saint Peter won't call my nameNever an honest wordBut that was when I ruled the world,Rock
4,5,Lost Stars,Adam Levine,Please don't see just a boycaught up in dreams and fantasiesPlease see me reaching out for someone I can't seeTake my hand let's see where we wake up tomorrowBest laid plans sometimes are just a one night standI'd be damned Cupid's demanding back his arrowSo let's get drunk on our tears andGod tell us the reason youth is wasted on the youngIt's hunting season and this lamb is on the runSearching for meaningBut are we all lost stars trying to light up the darkWho are we Just a speck of dust within the galaxyWoe is me if we're not careful turns into realityDon't you dare let all these memories bring you sorrowYesterday I saw a lion kiss a deerTurn the pageMaybe we'll find a brand new endingWhere we're dancing in our tears andGod tell us the reason youth is wasted on the youngIt's hunting season and this lamb is on the runsearching for meaningBut are we all lost stars trying to light up the darkI thought I saw you out there cryingI thought I heard you call my nameI thought I heard you out there cryingWe're just the sameGod give us the reason youth is wasted on the youngIt's hunting season and this lamb is on the runWe're searching for meaningBut are we all lost stars trying to light up the darkI thought I saw you out there cryingI thought I heard you call my nameI thought I heard you out there cryingBut are we all lost stars trying to light up the darkAre we all lost stars trying to light up the dark,Rock
5,6,Thunder,Imagine Dragons,Just a young gun with a quick fuseI was uptight wanna let looseI was dreaming of bigger thingsAnd wanna leave my own life behindNot a yes sir not a followerFit the box fit the moldHave a seat in the foyer take a numberI was lightning before the thunderThunder thunderThunder thun thunderThun-thun-thunder thunder thunderThunder thun thunderThun-thun-thunder thunderThunder feel the thunderLightning and the thunderThunder feel the thunderLightning and the thunderThunder thunderThunderKids were laughing in my classesWhile I was scheming for the massesWho do you think you areDreaming 'bout being a big starYou say you're basic you say you're easyYou're always riding in the back seatNow I'm smiling from the stage whileYou were clapping in the nose bleedsThunder Thunder thun thunderThun-thun-thunder thunder thunderThunder thun thunderThun-thun-thunder thunderThunder feel the thunderLightning and the thunderThunder feel the thunderLightning and the thunderThunderThunder feel the thunderLightning and the thunder thunderThunder feel the thunderLightning and the thunder thunderThunder feel the thunderLightning and the thunder thunderThunder feel the thunderLightning and the thunder thunderThunder feel the thunderLightning and the thunder thunderThunder thunder thunderThun-thun-thunder thunderThunder thunder thunderThun-thun-thunder thunderThunder thunder thunderThun-thun-thunder thunderThunder thunder thunderThun-thun-thunder thunder,Rock
6,7,Thinking Out Loud,Ed Sheeran,When your legs don't worklike they used to beforeAnd I can't sweep you off of your feetWill your mouth still rememberthe taste of my loveWill your eyes still smile from your cheeksAnd darling I will be loving you till we're 70And baby my heart could still fall as hard at 23And I'm thinking 'bout how people fall in love in mysterious waysMaybe just the touch of a handOh me I fall in love with you every single dayAnd I just wanna tell you I amSo honey nowTake me into your loving armsKiss me under the light ofa thousand starsPlace your head on my beating heartI'm thinking out loudThat maybe we found love right where we areWhen my hair's overgone and my memory fadesAnd the crowds don't remember my nameWhen my hands don't play the strings the same wayI know you will still love me the same'Cause honey your soul could never grow old it's evergreenAnd baby your smile's forever in my mind and memoryI'm thinking 'bout how people fall in love in mysterious waysMaybe it's all part of a planI just keep on making the same mistakesHoping that you'll understandBut baby nowTake me into your loving armsKiss me under the light of a thousand starsPlace your head on my beating heartThinking out loudThat maybe we found love right where we areSo baby nowTake me into your loving armsKiss me under the light ofa thousand starsOh darling place your head on my beating heartI'm thinking out loudThat maybe we found loveright where we areOh maybe we found loveright where we areAnd we found love right where we are,Rock
7,8,Dancing in My Room,347aidan,Na na na na na na yeahNa na na na na na na naDamn AidanWhat you up to broWhat you been up to AidanYeah yaI been dancing in my roomSwaying my feetTryna give you love and a kiss on the cheekCotton candy skies like I'm stuck in a dreamAnd I've been feeling blueYou're the one that I needDancing in my roomSwaying my feetTryna give you love and a kiss on the cheekCotton candy skies like I'm stuck in a dreamAnd I've been feeling blueYou're the one that I needAnd baby yeah you give me reasonsJust to fight all of my demonsYeah I love you when you're speaking'Cause you silence all my feelingsThat feeling that I'm not okayAnd everyone will run awayAnd lеave me in my room roomAlone for just anothеr dayI'm sippin' on some lemonadeI wonder if you'll ever changeFuck it I don't even careBaby just go out of my wayDancing in my roomSwaying my feetTryna give you love and a kiss on the cheekCotton candy skies like I'm stuck in a dreamAnd I've been feeling blueYou're the one that I needI been dancing in my roomSwaying my feetTryna give you love and a kiss on the cheekCotton candy skies like I'm stuck in a dreamAnd I've been feeling blueYou're the one that I needDancing in my roomSwaying my feetTryna give you love and a kiss on the cheekCotton candy skies like I'm stuck in a dreamAnd I've been feeling blueYou're the one that I needShe's a very pretty girlIn a very shitty worldShe got records on the wallAnd a necklace made of pearlsShe's an angel to my nightmaresMessage to my night scaresWhenever you are downJust know that I'll be right thereDancing in my roomSwaying my feetTryna give you love and a kiss on the cheekCotton candy skies like I'm stuck in a dreamAnd I've been feeling blueYou're the one that I needDancing in my roomSwaying my feetTryna give you love and a kiss on the cheekCotton candy skies like I'm stuck in a dreamAnd I've been feeling blueYou're the one that I need,Rock
8,9,Don't Look Back In Anger,Oasis,"Slip inside the eye of your mindDon't you know you might find A better place to playYou said that you'd never beenBut all the things that you've seenSlowly fade awaySo I start the revolution from my bedCos you said the brains I have went to my headStep outside the summertime's in bloomStand up beside the fireplaceTake that look from off your faceYou ain't ever gonna burn my heart outAnd so Sally can wait,she knows its too late as we're walking on byHer soul slides away,but don't look back in angerI heard you sayTake me to the place where you goWhere nobody knows if it's night or dayPlease don't put your life in the handsOf a Rock n Roll bandWho'll throw it all awayI'm gonna start the revolution from my bedCos you said the brains I have went to my headStep outside the summertime's in bloomStand up beside the fireplaceTake that look from off your faceCos You ain't ever gonna burn my heart outSo Sally can wait,she knows its too late as she's walking on bymy soul slides away,but don't look back in angerI heard you saySo Sally can wait,she knows its too late as we're walking on byHer soul slides away,but don't look back in angerI heard you saySo Sally can wait,she knows its too late as she's walking on bymy soul slides away,but don't look back in angerdon't look back in angerI heard you sayAt least not today",Rock
9,10,Youngblood,5 Seconds of Summer,Remember the words you told me love me 'til the day I dieSurrender my everything 'cause you made me believe you're mineYeah you used to call me baby now you're calling me by nameTakes one to know one yeahYou beat me at my own damn gameYou're pushing you're pushingI'm pulling away pulling away from youI give and I give and I giveAnd you take give and you takeYoung bloodSay you want meSay you want meOut of your lifeAnd I'm just a dead man walking tonightBut you need it yeah you need itAll of the timeYeah ooh ooh oohYoung bloodSay you want meSay you want meBack in your lifeSo I'm just a dead man crawling tonight'Cause I need it yeah I need itAll of the timeYeah ooh ooh oohLately our conversations end like it's the last goodbyeYeah one of us gets too drunk and calls about a hundred timesSo who you been calling baby nobody could take my placeWhen you looking at those strangers hope to god you see my faceYoung bloodSay you want meSay you want meOut of your lifeAnd I'm just a dead man walking tonightBut you need it yeah you need itAll of the timeYeah ooh ooh oohYoung bloodSay you want meSay you want meBack in your lifeSo I'm just a dead man crawling tonight'Cause I need it yeah I need itAll of the timeYeah ooh ooh oohYou're pushing you're pushingI'm pulling away pulling away from youI give and I give and I giveAnd you take give and you takeYou're running around and I'm running awayRunning away from you from youYoung bloodSay you want meSay you want meOut of your lifeAnd I'm just a dead man walking tonightBut you need it yeah you need itAll of the timeYeah ooh ooh oohYoung bloodSay you want meSay you want meBack in your lifeSo I'm just a dead man crawling tonight'Cause I need it yeah I need itAll of the timeYeah ooh ooh oohYou're pushing you're pushingI'm pulling away pulling away from youI give and I give and I giveAnd you take give and you takeYoung bloodSay you want meSay you want meOut of your lifeAnd I'm just a dead man walking tonight,Rock
10,11,Photograph,Ed Sheeran,Loving can hurt Loving can hurt sometimesBut it's the only thing that I knowWhen it gets hard you know it can get hard sometimesIt is the only thing that makes us feel aliveWe keep this love in a photographWe made these memoriesfor ourselvesWhere our eyes are never closingHearts are never brokenAnd time's forever frozen stillSo you can keep meInside the pocket of your ripped jeansHolding me closer 'til our eyes meetYou won't ever be alone wait for me to come homeLoving can healLoving can mend your soulAnd it's the only thing that I know knowI swear it will get easierRemember that with every piece of youAnd it's the only thing we take with us when we dieWe keep this love in this photographWe made these memoriesfor ourselvesWhere our eyes are never closinghearts are never brokenAnd time's forever frozen stillSo you can keep meInside the pocket of your ripped jeansHolding me closer 'til our eyes meetYou won't ever be aloneAnd if you hurt meThat's okay baby only words bleedInside these pages you just hold meAnd I won’t ever let you goWait for me to come homeWait for me to come homeWait for me to come homeWait for me to come homeYou can fit meInside the necklace you got when you were sixteenNext to your heartbeat where I should beKeep it deep within your soulAnd if you hurt meWell that's okay baby only words bleedInside these pages you just hold meAnd I won’t ever let you goWhen I'm away I will remember how you kissed meUnder the lamppost back on Sixth streetHearing you whisper through the phoneWait for me to come home,Rock
11,12,I Love You 3000,Stephanie Poetri,Baby take my handI want you to be my husband'Cause you're my Iron ManAnd I love you 3000Baby take a chance'Cause I want this to be somethingStraight out of a Hollywood movieI see you standing thereIn your hulk outerwearAnd all I can thinkIs where is the ring'Cause I know you wanna askScared the moment will passI can see it in your eyesJust take me by surpriseAnd all my friends they tell me they seeYou planning to get on one kneeBut I want it to be out of the blueSo make sure I have no cluesWhen you askBaby take my handI want you to be my husband'Cause you're my Iron ManAnd I love you 3000Baby take a chance'Cause I want this to be somethingStraight out of a Hollywood movieNow we're having dinnerAnd baby you're my winnerI see the way you smileYou're thinking about the aisleYou reach in your pocketEmotion unlockingAnd before you could askI answer too fastAnd all my friends they tell me they seeYou planing to get on one kneeSo now I can't stop thinking about youI figured out all the cluesSo now I askBaby take my handI want you to be my husband'Cause you're my Iron ManAnd I love you 3000Baby take a chance'Cause I want this to be somethingStraight out of a Hollywood movieNo spoilers pleaseNo spoilers pleaseBaby take my handI want you to be my husband'Cause you're my Iron ManAnd I love you 3000Baby take a chance'Cause I want this to be somethingStraight out of a Hollywood movie BabyNo spoilers pleaseNo spoilers pleaseNo spoilers pleaseAnd I love you 3000,Rock
12,13,Beggin',Måneskin,Put your loving hand out baby‘Cause I’m beggin’I’m beggin’ beggin’ youSo put your loving hand out babyI’m beggin’ beggin’ youSo put your loving hand out darlin’Ridin’ high when I was kingI played it hard and fast‘cause I had everythingI walked away you want me thenBut easy come and easy goAnd it would endSo any time I bleed you let me goYah any time I feed youget me knowAny time I see you let me knowBut I planted the seedjust let me growI’m on my knees while I’m beggin’‘Cause I don’t want to lose youHay yeah RatatataI’m beggin’ beggin’ youSo put your loving hand out babyI’m beggin’ beggin’ youSo put your loving hand out darlin’I need you to understandTried so hard to be your manThe kind of manyou want in the endOnly then can I begin to live againAn empty shellI used to beThe shadow of my lifeWas hangin over meA broken manBut I don’t knowWon’t even stand the devil’s chanceTo win my soulWhat we doin’ What we chasin’What about ‘emWhy the basementWhy we got good shitdon’t embrace itWhy the feel for the needto replacementYou on a runway track from the goodI wan’t to paint in the pictures any wayWe could reactLike the heart in a trashwhere you shouldYou don’t gave it awaytook it backBut I keep walkin’ onKeep rockin’ dawnsKeep walking forwardNow the court is yoursKeep browsin’ halls‘Cause I don’t wannalive in a brocken homeGirl I’m begginMhh Ye e e ahI’m beggin’ beggin’ youSo put your loving hand out babyI’m beggin’ beggin’ youSo put your loving hand out darlin’I’m fightin’ hardTo hold my ownJust can’t make it all aloneI’m holdin’ onI can’t fall backI’m just a con about to fade to blackI’m beggin’ beggin’ youSo put your loving hand out babyI’m beggin’ beggin’ youSo put your loving hand out darlin’I’m beggin’ beggin’ youSo put your loving hand out babyI’m beggin’ beggin’ youSo put your loving hand out darlin’I’m beggin’ beggin’ youSo put your loving hand out babyI’m beggin’ beggin’ youSo put your loving hand out darlin’,Rock
13,14,Higher Power,Coldplay,"Sometimes I just can’t take itSometimes I just can’t take it and it isn’t alrightI’m not going to make it And I think my shoe's untiedI’m like a broken recordI’m like a broken record andI’m not playing rightDrocer nekorb a ekil miTil you tell me on your heavenly phoneTo hold tight, hold tightCome on, come onCome on, come onCome on, come onCome on, come onDon’t let go Hold tight, hold tightHold tight, hold tightIt's alright it's alright she saidI got my hands up shaking just to let you know thatYou’ve got a higher powerYou got me singing every second, dancing every hourOh yeah you’ve got a higher powerAnd you’re really someone I want to knowThis boy is electricThis boy is electric and you’re sparkling lightThe universe connected, and I’m buzzingNight after night after night  This joy is electric This joy is electric and you're circuiting throughI’m so happy that I’m aliveHappy I’m alive at the same time as you causeYou’ve got a higher powerYou got me singing every second, dancing every hourOh yeah you’ve got a higher powerAnd you’re really someone I want to knowYou got yeah you got a higherYou got yeah you got a higherYou got yeah you got a higherYou gotYou got oh you got a higherYou got yeah you got a higherYou’ve got oh you’ve got a higherI got my hands up shaking just to let you know nowYou’ve got a higher powerYou got me singing every second, dancing any hourYou’ve got a higher powerYou’re once in any lifetimeI’m going a million miles an hourWhen for so longI’d been down on my kneesThen your love songSaved me over and overFor so longI’d been down on my kneesTil your love songFloats me on",Rock
14,15,Everglow,Coldplay,Oh they say people comesay people goThis particular diamond wasextra specialAnd though you might be goneAnd the world may not knowStill I see you celestialLike a lion you ranA Goddess you rolledLike an eagle you circledIn perfect purpleSo how come things move onHow come cars don't slowWhen it feels likethe end of my worldWhen I should butI can't let you goBut when I'm cold coldWhen I'm cold coldThere's a light that you give meWhen I'm in shadowThere's a feeling you give mean everglowLike brothers in bloodSisters who rideAnd we swore on that nightWe'd be friends 'til we diedBut the changing of windsAnd the way waters flowLife is short as the falling of snowAnd now I'm gonna miss youI knowBut when I'm cold coldIn water rolled saltAnd I know that you're with meAnd the way you will showAnd you're with me wherever I goBut you give me this feeling this everglowwhat I wouldn't give forjust a moment to holdYeah I live for this feelingthis everglowSo if you love someoneyou should let them knowOh the light that you left mewill everglow,Rock
