paragraphs,output
울산의 향토기업인 세진중공업이 플랜트 시장에 진출한 이후 최대 규모의 수주에 성공했습니다. 세진중공업은 공시를 통해 삼성엔지니어링과 571억 원에 달하는 플랜트 모듈 공급 계약을 체결했다고 밝혔습니다.,<울산:LOC>의 향토기업인 <세진중공업:ORG>이 플랜트 시장에 진출한 이후 최대 규모의 수주에 성공했습니다. <세진중공업:ORG>은 공시를 통해 <삼성엔지니어링:ORG>과 <571억 원:MNY>에 달하는 플랜트 모듈 공급 계약을 체결했다고 밝혔습니다.
 29일 전북 전주시 전주농협 모악창고에서 농협직원들이 공공비축미곡 매입작업을 하고 있다. 전주시는 2020년산 공공비축미곡 1485톤과 태풍 피해 벼 전량을 매입할 예정이다. 2020.10.29 뉴스1 2020년산 공공비축미곡 매입가격이 벼 1등급 기준 40kg 포대당 7만5140원으로 확정됐다. 1일 농림축산식품부에 따르면 공공비축미곡 매입가격은 2020년 수확기 10 12월 전국 산지 쌀값 평균을 벼 40kg 기준으로 환산한 가격으로 작년 매입가격 6만5750원 40kg 에 비해 14.3% 높은 수준이다. 이와 함께 피해 벼 잠정 등외 A등급은 40kg 포대당 5만3940원 4만460원 30kg 으로 결정됐다.,<29일:DAT> <전북:LOC> <전주시:LOC> <전주농협:LOC> 모악창고에서 농협직원들이 공공비축미곡 매입작업을 하고 있다. 전주시는 <2020년:DAT>산 공공비축미곡 <1485톤:NOH>과 태풍 피해 벼 전량을 매입할 예정이다. <2020.10.29:DAT> <뉴스1:NOH> <2020년:DAT>산 공공비축미곡 매입가격이 벼 <1등급:NOH> 기준 <40kg:NOH> 포대당 <7만5140원으로:MNY> 확정됐다. <1일:DAT> <농림축산식품부:ORG>에 따르면 공공비축미곡 매입가격은 <2020년:DAT> 수확기 <10 12월:DAT> 전국 산지 쌀값 평균을 <:NOH>벼 <40kg:MNY> 기준으로 환산한 가격으로 작년 매입가격 <6만5750원:MNY> <40kg:MNY> <:NOH>에 비해 <14:NOH>.3% 높은 수준이다. 이와 함께 피해 <:NOH>벼 잠정 등외 A등급은 <40kg:MNY> 포대당 <5만3940원:MNY> <4만460원:NOH> <30kg:NOH> <:NOH>으로 결정됐다.
 러시아에선 지난 4 6월 코로나19 첫 유행 뒤 10월부터 2차 유행이 본격화됐다. 그러나 대다수 유럽 국가들이 코로나19 재확산을 맞아 작년 말을 전후로 봉쇄 조치를 다시 취한 것과 달리 러시아 정부는 Δ재택근무 장려 Δ술집·음식점 영업시간 제한 Δ공공장소 내 마스크 착용과 대규모 모임 제한 등 사회적 거리두기 차원의 기초적인 방역조치만 이어가고 있는 상황. 전국적 봉쇄 조치에 수반되는 경제적 피해에 대한 우려 때문이다. AFP통신은 특히 푸틴 대통령이 이끄는 통합러시아당은 올해 총선 국가두마 하원 선거 을 앞두고 있기에 봉쇄 조치를 피하고자 한다 고 전하기도 했다. AFP는 그러나 많은 러시아인들은 사회적 거리두기 지침마저도 제대로 지키지 않는다 며 작년 9월 1569명이었던 수도 모스크바의 코로나19 사망자는 10월 3573명 11월 4542명 등으로 계속 증가했다 고 지적했다. 러시아 보건당국 집계에 따르면 그간 러시아에선 315만여명의 코로나19 확진자가 나왔고 이 가운데 5만여명이 숨졌다. 그러나 러시아연방 통계청 로스타트는 지난달 28일 자국의 코로나19 사망자 수가 보건당국 발표의 3배가 넘는 18만여명이라고 밝혔다.,<러시아:ORG>에선 지난 <4 6월:DAT> <코로나19:POH> 첫 유행 뒤 <10월부터:DAT> <2차:NOH> 유행이 본격화됐다. 그러나 대다수 유럽 국가들이 <코로나19:POH> 재확산을 맞아 작년 말을 전후로 봉쇄 조치를 다시 취한 것과 달리 <러시아:ORG> 정부는 [UNK]재택근무 장려 [UNK]술집·음식점 영업시간 제한 [UNK]공공장소 내 마스크 착용과 대규모 모임 제한 등 사회적 거리두기 차원의 기초적인 방역조치만 이어가고 있는 상황. 전국적 봉쇄 조치에 수반되는 경제적 피해에 대한 우려 때문이다. <AFP통신:POH>은 특히 <푸틴:PER> 대통령이 이끄는 통합러시아당은 올해 총선 국가두마 하원 선거 <:NOH>을 앞두고 있기에 봉쇄 조치를 피하고자 한다 고 전하기도 했다. AFP는 그러나 많은 <러시아:ORG>인들은 사회적 거리두기 지침마저도 제대로 지키지 않는다 <:NOH>며 작년 <9:NOH>월 <1569명:NOH>이었던 수도 모스크바의 <코:ORG>로나19 사망자는 <10:NOH>월 <3573명:NOH> <11:NOH>월 <4542명:NOH> 등으로 계속 증가했다 고 지적했다. <러시아:ORG> 보건당국 집계에 따르면 그간 <러시아:ORG>에선 <315:NOH>만여명의 <코:ORG>로나19 확진자가 나왔고 이 가운데 <5:NOH>만여명이 숨졌다. 그러나 <러시아:ORG>연방 통계청 <:NOH>로스타트는 지난달 <28:NOH>일 자국의 코로나19 사망자 <수:NOH>가 보건당국 발표의 <3:NOH>배가 넘는 <18:NOH>만여명이라고 밝혔다.
 박수진 농식품부 식량정책관은 지난 해는 기상이변에 따른 쌀 생산량 감소로 농업인의 어려움이 컸지만 쌀값이 상승하여 농가소득에 버팀목이 됐다 며 올해는 재해에 대비한 안정생산 쌀 품질 고급화 소비 확대 등을 지속적으로 추진해 생산자와 소비자 모두가 만족할 수 있도록 쌀 수급관리에 만전을 기할 계획 이라고 말했다.,<박수진:PER> <농식품부:ORG> 식량정책관은 지난 해는 기상이변에 따른 쌀 생산량 감소로 농업인의 어려움이 컸지만 쌀값이 상승하여 농가소득에 버팀목이 됐다 며 올해는 재해에 대비한 안정생산 쌀 품질 고급화 소비 확대 등을 지속적으로 추진해 생산자와 소비자 모두가 만족할 수 있도록 쌀 수급관리에 만전을 기할 계획 이라고 말했다.
 신종 코로나바이러스감염증 코로나19 여파로 국내 원유 수입 경로에 변화가 생겼다. 2016년 이후 증가세를 보이던 미국산 원유 수입은 절반 수준으로 줄었고 러시아·노르웨이산 원유는 올 들어 수입량이 늘어난 것으로 나타났다. 1일 한국석유공사에 따르면 지난해 1월 미국산 원유 수입 규모는 1341만5000배럴에서 11월 654만1000배럴로 51.2% 감소했다. 전년 동기 1202만5000배럴 와 비교해도 45.6% 줄었다. 미국산 원유 수입량이 줄어든 이유는 가격 경쟁력을 상실했기 때문이다. 국내 정유업계는 2016년부터 중동산 원유보다 가격이 낮은 미국산 원유 수입을 늘려왔다. 그러나 코로나19 여파로 중동산 원유 가격이 급락했고 아시아 수출량에 붙는 원유도입단가 OSP 를 크게 낮추면서 미국산과 중동산 원유 수입 단가 42 70달러 가 비슷해졌다. 미국산 원유 자리를 꿰찬 곳은 러시아와 노르웨이다. 중동 외의 지역에서 원유를 수입할 경우 운송비 일부를 석유수입부과금에서 환급받을 수 있다. 미국의 이란 제재 리스크를 줄이기 위한 정부의 원유 도입 다변화 정책 덕분이다. 그 결과 같은 기간 러시아산 원유는 396만6000배럴에서 504만배럴 362만2000배럴 로 27.0% 늘었다. 노르웨이산 원유는 1월 수입량이 없었지만 11월 298만4000배럴로 크게 늘었다. 이는 2012년 7월 414만6000배럴 이후 가장 큰 규모다. 노르웨이산 원유 수입은 2 3년 만에 한 번씩 연간100만배럴 미만 수준이었으나 지난해 급증하기 시작했다. 운송비 환급과 더불어 수입 단가가 68.5달러 2월 에서 43.8달러 11월 까지 낮아진 영향이다. 조상범 대한석유협회 관계자는 미국산 원유는 운송비가 비싸고 코로나19 이후 가격 경쟁력도 크게 떨어졌다 며 대신 가까운 러시아와 운송비 환급 혜택을 받을 수 있는 노르웨이로부터 원유 수입이 늘었다 고 설명했다.,신종 <코로나:POH>바이러스감염증 코로나19 여파로 국내 원유 수입 경로에 변화가 생겼다. <2016년:DAT> 이후 증가세를 보이던 미국산 원유 수입은 <절반:PNT> 수준으로 줄었고 <러시아:ORG>·<노르웨이:ORG>산 원유는 올 들어 수입량이 늘어난 것으로 나타났다. <1일:DAT> <한국석유공사:ORG>에 따르면 지난해 <1월:DAT> <미국:ORG>산 원유 수입 규모는 <1341만5000배럴:NOH>에서 <11월:DAT> <654만1000배럴:PNT>로 <51.2%:PNT> 감소했다. 전년 동기 <1202만5000배럴:NOH> 와 비교해도 <45.6%:PNT> 줄었다. 미국산 원유 수입량이 줄어든 이유는 가격 경쟁력을 상실했기 때문이다<.:PNT> 국내 정유업계는 <2016년부터:NOH> 중동산 원유보다 가격이 낮은 <미국:ORG>산 원유 수입을 늘려왔다<.:PNT> 그러나 코로나19 여파로 중동산 원유 가격이 급락했고 <아시아:ORG> 수출량에 붙는 원유도입단가 <O:NOH>SP <:PNT>를 크게 낮추면서 <미국:ORG>산과 중동산 원유 수입 단가 <42:PNT> <70달러:PNT> <:PNT>가 비슷해졌다<.:PNT> <미국:ORG>산 원유 자리를 <:PNT><꿰:PNT>찬 곳은 <러시아:ORG>와 <노:PNT>르웨이다<.:PNT> 중동 외의 지역에서 원유를 수입할 경우 운송비 일부를 석유수입부과금에서 환급받을 <수:PNT> 있다<.:PNT> <미국의:ORG> <:PNT>이란 제재 리스크를 줄이기 위한 정부의 원유 도입 다변화 정책 덕분이다<.:PNT> 그 결과 같은 기간 <러시아:ORG>산 원유는 <396:PNT>만6000배럴에서 <504:PNT>만배럴 <362:PNT>만2000배럴 <:PNT>로 <27:PNT><.:PNT><0%:PNT> 늘었다<.:PNT> <노:PNT>르웨이산 원유는 <1:PNT>월 수입량이 없었지만 <11:PNT>월 <298:PNT>만4000배럴로 크게 늘었다<.:PNT> 이는 <2012년:NOH> <7:PNT>월 <414:PNT>만6000배럴 이후 가장 큰 규모다<.:PNT> 노르웨이산 원유 수입은 <2:PNT> <3년:PNT> 만에 <한:NOH> 번씩 연간100만배럴 미만 수준이었으나 지난해 급증하기 시작했다<.:PNT> 운송비 환급과 더불어 수입 단가가 <68:PNT><.5달러:PNT> <2:PNT>월 <:PNT>에서 <43:PNT><.8달러:PNT> <11:PNT>월 <:PNT>까지 낮아진 영향이다<.:PNT> <조:PNT>상범 대한석유협회 관계자는 <미국:ORG>산 원유는 운송비가 비싸고 코로나19 이후 가격 경쟁력도 크게 떨어졌다 <:PNT>며 대신 가까운 <러시아:ORG>와 운송비 환급 혜택을 받을 수 있는 노르웨이로부터 원유 수입이 늘었다 고 <설명했다:PNT><.
 정기동 쿠팡 리테일 뷰티 디렉터는 코로나19 확산 이후 클렌징폼 클렌징젤 등 세안제품과 마스크 팩 미스트 등 피부 진정 제품 카테고리가 인기를 끌었다 며 외부 감염으로부터 건강과 피부를 보호하기 위한 세안 제품과 마스크로 자극받아 예민해진 피부 진정에 도움이 되는 제품을 찾는 고객이 늘어났기 때문일 것 이라고 설명했다. 코로나19의 장기화와 집콕 생활의 일상화로 홈그루밍 제품도 큰 관심을 받았다. 특히 네일파츠 인조손톱 등 네일 카테고리와 헤어미용가위와 헤어브러시 등 이미용 제품의 성장이 두드러졌다. 쿠팡은 새해를 맞아 뷰티 트렌트별 시즌 대표 상품을 할인 판매하는 2021 뷰티 트렌드 기획전을 이달 7일까지 진행한다. 이번 기획전은 앞서 선정된 핫 트렌드인 진정케어 마스크프루프 클린뷰티 맨그루밍과 연말부터 주목받고 있는 립밤 폼클렌징 향수 겨울네일 등 톱 키워드 상품을 선보여 편리하게 제품을 비교 구매할 수 있다. 이병희 쿠팡 리테일 부사장은 코로나19가 장기화되면서 마스크로 인한 피부 트러블 집에서 스스로 관리할 수 있는 홈케어에 대한 고민과 관심이 계속 이어지고 있다 며 마스크 착용으로 예민해진 피부관리와 셀프케어가 필요한 요즘 이번 기획전이 트렌디한 뷰티 제품들을 구매할 수 있는 좋은 기회가 되길 바란다 고 말했다.,정기동 <쿠팡:ORG> 리테일 뷰티 디렉터는 <코로나19:POH> 확산 이후 클렌징폼 클렌징젤 등 세안제품과 마스크 팩 미스트 등 피부 진정 제품 카테고리가 인기를 끌었다 며 외부 감염으로부터 건강과 피부를 보호하기 위한 세안 제품과 마스크로 자극받아 예민해진 피부 진정에 도움이 되는 제품을 찾는 고객이 늘어났기 때문일 것 이라고 설명했다. <코로나19:POH>의 장기화와 집콕 생활의 일상화로 홈그루밍 제품도 큰 관심을 받았다. 특히 네일파츠 인조손톱 등 네일 카테고리와 헤어미용가위와 헤어브러시 등 이미용 제품의 성장이 두드러졌다. 쿠팡은 새해를 맞아 뷰티 트렌트별 시즌 대표 상품을 할인 판매하는 <20:NOH><21:NOH> 뷰티 트렌드 기획전을 이달 <7:NOH>일까지 진행한다. 이번 기획전은 앞서 선정된 핫 트렌드인 진정케어 마스크프루프 클린뷰티 맨그루밍과 연말부터 주목받고 있는 립밤 폼클렌징 향수 겨울네일 등 톱 키워드 상품을 선보여 편리하게 제품을 비교 구매할 수 있다. 이병희 쿠팡 리테일 부사장은 코로나<19:NOH>가 장기화되면서 마스크로 인한 피부 트러블 집에서 스스로 관리할 수 있는 홈케어에 대한 고민과 관심이 계속 이어지고 있다 며 마스크 착용으로 예민해진 피부관리와 셀프케어가 필요한 요즘 이번 기획전이 트렌디한 뷰티 제품들을 구매할 수 있는 좋은 기회가 되길 바란다 고 말했다.
‘대장주’ 삼성전자 시가총액이 1년 사이 150조원 넘게 불어나 증권사들 “올해도 강세 지속” 경향신문 코스피 상장기업의 시가총액이 사상 처음으로 우리나라 연간 명목 국내총생산 GDP 을 넘어선 것으로 보인다. 전문가들은 내년에도 코스피 강세가 이어질 것으로 보고 있다. 한국거래소 등에 따르면 국제통화기금 IMF 전망치 기준 명목 GDP 대비 코스피 시총 비율은 지난해 종가 12월30일 기준 104.2%로 사상 최고치를 기록했다. 개인 투자자들의 매수와 연말 외국인 자금 유입으로 코스피가 사상 최고치인 2873.47로 지난해 장을 마무리한 데 따른 것이다. 코스피 시총은 지난달 11일 처음으로 명목 GDP 1900조원 를 넘어선 데 이어 ‘연말 랠리’가 이어지며 폐장일인 지난달 30일 1980조5000억원으로 불어났다. 코스피 대장주 삼성전자 시총이 약 333조1000억원에서 약 483조6000억원으로 1년간 150조원 이상 불어난 것이 시총 증가에 기여했다.,‘대장주’ <삼성전자:ORG> 시가총액이 <1년:NOH> 사이 <150조원:MNY> 넘게 불어나 증권사들 “올해도 강세 지속” 경향신문 코스피 상장기업의 시가총액이 사상 처음으로 우리나라 연간 명목 국내총생산 GDP 을 넘어선 것으로 보인다. 전문가들은 내년에도 <코스피:POH> 강세가 이어질 것으로 보고 있다. <한국거래소:ORG> 등에 따르면 <국제통화기금:ORG> <IMF:ORG> 전망치 기준 명목 GDP 대비 코스피 시총 비율은 지난해 종가 <12월30일:DAT> 기준 <104.2%:MNY>로 사상 최고치를 기록했다. 개인 투자자들의 매수와 연말 외국인 자금 유입으로 코스피가 사상 최고치인 <2873.47:MNY>로 지난해 장을 마무리한 데 따른 것이다. <코스피:ORG> 시총은 지난달 <11:MNY>일 처음으로 명목 <:MNY>GDP <1900조원:MNY> <:MNY>를 넘어선 데 이어 ‘연말 <:MNY>랠리’가 이어지며 폐장일인 지난달 <30:MNY>일 <1980조5000억원으로:MNY> 불어났다<.:MNY> <코스피:ORG> 대장주 <삼성전자:ORG> 시총이 약 <333조1000억원:MNY>에서 약 <483조6000억원으로:MNY> <1년간:MNY> <150조원:MNY> 이상 불어난 것이 시총 증가에 기여했다.
‘파생결합펀드 DLF 사태’ 등의 영향으로 국내 사모펀드 시장이 위축되고 있는 것으로 나타났다. 개인 투자자를 대상으로 한 사모펀드 판매가 5개월 연속 감소세를 기록한 것으로 조사됐다. 1일 금융투자협회에 따르면 개인 투자자에게 판매된 사모펀드 판매잔액은 지난해 11월 말 현재 24조1000억 원으로 전월 말보다 6000억 원 2.4% 줄어든 것으로 집계됐다. 이로써 판매 잔액은 지난해 7월부터 5개월째 감소세를 이어갔다. 이 잔액은 지난해 6월 말 27조 원으로 사상 최대를 기록한 뒤 감소세로 돌아섰다. 7월 382억 원이 줄어든 뒤 8월 5893억 원 9월 6839억 원으로 감소 폭이 커졌고 10월 9969억 원 에는 1조 원 가까이 급감했다. 7월부터 5개월 동안 2조9000억 원 넘게 줄어든 셈이다. 판매잔액이 7월을 기점으로 감소세로 전환한 것은 라임자산운용의 자전 거래를 통한 펀드 수익률 돌려막기 의혹 등이 제기된 데 이어 DLF 사태까지 터진 영향이 큰 것으로 풀이된다. 특히 KEB하나은행과 우리은행 등이 주로 판매한 해외 금리 연계형 DLF에서 투자 손실이 발생했고 이와 관련해 은행의 불완전판매 문제까지 제기됐다. 이런 영향으로 두 은행에서 개인 투자자 대상의 사모펀드 판매가 급감한 상태다. KEB하나은행의 11월 말 현재 개인 투자자 대상 사모펀드 판매잔액은 2조2000억 원으로 6월 말보다 1조 원 32.2% 가량 줄었다. 우리은행은 11월 말 현재 판매잔액이 1조5000억 원으로 6월 말보다 1조4000억 원 48.2% 감소했다. 사모펀드 판매에서 은행의 비중은 작아지는 반면 증권사는 확대 추세를 보이는 것으로 나타났다. 은행의 개인 투자자를 비롯한 전체 투자자에 대한 사모펀드 판매잔액은 6월 말 29조 원에서 11월 말 26조 원으로 약 3조 원 10.1% 줄었고 그 결과 판매 잔액 비중은 같은 기간 7.71%에서 6.49%로 하락했다. 증권사 판매잔액 비중은 6월 말 81.94%에서 11월 말 82.62%로 상승했다.,‘파생결합펀드 DLF 사태’ 등의 영향으로 국내 사모펀드 시장이 위축되고 있는 것으로 나타났다. 개인 투자자를 대상으로 한 사모펀드 판매가 <5개월:DUR> 연속 감소세를 기록한 것으로 조사됐다. <1:DAT>일 <금융투자협회:ORG>에 따르면 개인 투자자에게 판매된 사모펀드 판매잔액은 지난해 <11월:DAT> 말 현재 <24조1000억 원:MNY>으로 전월 말보다 <6000억 원:MNY> <2.4%:PNT> 줄어든 것으로 집계됐다. 이로써 판매 잔액은 지난해 <7월부터:DAT> <5개월:DUR>째 감소세를 이어갔다. 이 잔액은 지난해 <6월:DAT> 말 <27조 원:MNY>으로 사상 최대를 기록한 뒤 감소세로 돌아섰다. <7월:DAT> 382억 원이 줄어든 뒤 <8:MNY>월 <5893억 원:MNY> <9:MNY>월 <6839억 원:PNT>으로 감소 폭이 커졌고 <10:MNY>월 <9969억 원:MNY> <:PNT>에는 <1조 원:MNY> 가까이 급감했다<.:PNT> <7:MNY>월부터 <5개월:MNY> 동안 <2조9000억 원:MNY> 넘게 줄어든 셈이다<.:PNT> 판매잔액이 <7:MNY>월을 기점으로 감소세로 전환한 것은 라임자산운용의 자전 거래를 통한 펀드 수익률 돌려막기 의혹 등이 제기된 데 이어 DLF 사태까지 터진 영향이 큰 것으로 <풀이된다:PNT><.:PNT> 특히 <K:MNY>EB하나은행과 <우리은행:ORG> 등이 주로 판매한 해외 금리 연계형 DLF에서 투자 손실이 발생했고 이와 관련해 은행의 불완전판매 문제까지 제기됐다<.:PNT> 이런 영향으로 <두:PNT> 은행에서 개인 투자자 대상의 사모펀드 판매가 급감한 상태다<.:PNT> <K:MNY>EB하나은행의 <11:MNY>월 말 현재 개인 투자자 대상 사모펀드 판매잔액은 <2조2000억 원:MNY>으로 <6:MNY>월 말보다 <1조 원:MNY> <32:MNY><.:PNT><2%:PNT> 가량 줄었다<.:PNT> <우리은행:ORG>은 <11:MNY>월 말 현재 판매잔액이 <1조5000억 원:MNY>으로 <6:MNY>월 말보다 <1조4000억 원:MNY> <48:MNY><.:PNT><2%:PNT> 감소했다<.:PNT> 사모펀드 판매에서 은행의 비중은 작아지는 반면 증권사는 확대 추세를 보이는 것으로 나타났다<.:PNT> 은행의 개인 투자자를 비롯한 전체 투자자에 대한 사모펀드 판매잔액은 <6:MNY>월 말 <29조 원:MNY>에서 <11:MNY>월 말 <26조 원:MNY>으로 약 <3조 원:MNY> <1:MNY><0.1%:PNT> 줄었고 그 결과 판매 잔액 비중은 같은 기간 <7:MNY><.7:PNT><1%:PNT>에서 <6:MNY><.4:PNT><9%:PNT>로 하락했다<.:PNT> 증권사 판매잔액 비중은 <6:MNY>월 말 <81:MNY><.9:PNT><4%:PNT>에서 <11:MNY>월 말 <82:MNY><.6:PNT><2%:PNT>로 상승했다<.
‘LG 와인 셀러’ 美 가전부문 굿디자인상 수상 LG전자의 초프리미엄 가전 ‘LG 시그니처 와인 셀러’가 미국 디자인상인 ‘굿디자인 어워드’에서 주방 가전 부문 수상작으로 선정됐다. 최근 25년간 국내 전자업계에서 이 상을 수상한 기업은 LG전자가 유일하다. 0.5도 이내 온도 편차로 최대 65병의 와인을 보관할 수 있는 ‘LG 시그니처 와인셀러’는 본질에 충실한 정제된 디자인 보는 각도에 따라 다른 빛을 내는 샤이니 유니버스 패턴 디자인 등으로 높은 점수를 받았다.LG전자 제공 LG전자의 초프리미엄 가전 ‘LG 시그니처 와인 셀러’가 미국 디자인상인 ‘굿디자인 어워드’에서 주방 가전 부문 수상작으로 선정됐다. 최근 25년간 국내 전자업계에서 이 상을 수상한 기업은 LG전자가 유일하다. 0.5도 이내 온도 편차로 최대 65병의 와인을 보관할 수 있는 ‘LG 시그니처 와인셀러’는 본질에 충실한 정제된 디자인 보는 각도에 따라 다른 빛을 내는 샤이니 유니버스 패턴 디자인 등으로 높은 점수를 받았다.,‘LG 와인 셀러’ 美 가전부문 굿디자인상 수상 <LG전자:ORG>의 초프리미엄 가전 ‘<LG:POH> <시그니처:POH> 와인 셀러’가 미국 디자인상인 ‘<굿디자인 어워드:POH>’에서 주방 가전 부문 수상작으로 선정됐다. 최근 <25년간:DUR> 국내 전자업계에서 이 상을 수상한 기업은 <LG전자:ORG>가 유일하다. <0.5:NOH>도 이내 온도 편차로 최대 <65병:NOH>의 와인을 보관할 수 있는 ‘<LG:POH> <시그니처:POH> 와인셀러’는 본질에 충실한 정제된 디자인 보는 각도에 따라 다른 빛을 내는 샤이니 유니버스 패턴 디자인 등으로 높은 점수를 받았다.LG전자 제공 <LG:ORG>전자의 초프리미엄 가전 ‘LG 시그니처 와인 셀러’가 <미국:ORG> 디자인상인 ‘굿디자인 어워드’에서 주방 가전 부문 수상작으로 선정됐다. 최근 <25:NOH>년간 국내 전자업계에서 이 상을 수상한 기업은 <LG:ORG>전자가 유일하다. 0.5도 이내 온도 편차로 최대 <65:NOH>병의 와인을 보관할 수 있는 ‘LG 시그니처 와인셀러’는 본질에 충실한 정제된 디자인 보는 각도에 따라 다른 빛을 내는 샤이니 유니버스 패턴 디자인 등으로 높은 점수를 받았다.
“동절기 수급 차질 발생하지 않도록 다각도 방안 마련” 대한석유협회는 정유업계가 동절기 등유 수급 차질이 발생하지 않도록 적극적으로 노력할 것이라고 1일 밝혔다 최근 일부 지역에서 등유 공급이 차질을 빚은 데 대해 석유협회는 갑작스러운 한파로 수요가 증가한 데 따라 석유 유통업계의 재고가 소진된 영향이 컸다고 설명했다. 이어 국내 정유사는 안정적인 등유 수급을 위해 등유 생산 확대 등 다각도 방안을 마련할 것이라고 전했다. 특히 정부와 긴밀히 협력해 정부 비축유 물량도 활용할 수 있도록 최대한 노력하겠다고 했다. 한편 등유는 국내 석유제품 전체 소비 중 약 2%를 차지하며 주로 가정·농어업 난방용으로 사용된다. 난방유 특성상 계절적 소비편차가 크며 수요의 약 70%가 동절기에 집중되는 특징이 있다.,<“:DAT>동절기 수급 차질 발생하지 않도록 다각도 방안 마련” <대한석유협회:ORG>는 정유업계가 동절기 등유 수급 차질이 발생하지 않도록 적극적으로 노력할 것이라고 <1:DAT>일 밝혔다 최근 일부 지역에서 등유 공급이 차질을 빚은 데 대해 <석유협회:ORG>는 갑작스러운 한파로 수요가 증가한 데 따라 석유 유통업계의 재고가 소진된 영향이 컸다고 설명했다. 이어 국내 정유사는 안정적인 등유 수급을 위해 등유 생산 확대 등 다각도 방안을 마련할 것이라고 전했다. 특히 정부와 긴밀히 협력해 정부 비축유 물량도 활용할 수 있도록 최대한 노력하겠다고 했다. 한편 등유는 국내 석유제품 전체 소비 중 약 <2%:PNT>를 차지하며 주로 가정·농어업 난방용으로 사용된다. 난방유 특성상 계절적 소비편차가 크며 수요의 약 <70%:PNT>가 동절기에 집중되는 특징이 있다.
